study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Murphy2015	all	24.0	CAN150, MET1000, FED	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1325.0	NA	NA	NA	NA	NA	NA	ng/ml	geometric mean, fed
Murphy2015	all	24.0	CAN150, MET1000, FED	auc_end	canagliflozin	plasma	LC MS/MS	72.0	hr	12612.0	NA	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean, fed
Murphy2015	all	24.0	CAN150, MET1000, FED	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	13117.0	NA	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean, fed
Murphy2015	all	24.0	CAN150, MET1000, FED	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	3.5	1.0	6.0	NA	NA	NA	hr	geometric mean, fed
Murphy2015	all	24.0	CAN150, MET1000, FED	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	21.5	NA	NA	NA	7.48	NA	NA	hr	geometric mean, fed
Murphy2015	all	24.0	CAN150, MET1000	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1463.0	NA	NA	NA	NA	NA	NA	ng/ml	geometric mean, fasted
Murphy2015	all	24.0	CAN150, MET1000	auc_end	canagliflozin	plasma	LC MS/MS	72.0	hr	11307.0	NA	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean, fasted
Murphy2015	all	24.0	CAN150, MET1000	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	11650.0	NA	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean, fasted
Murphy2015	all	24.0	CAN150, MET1000	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.5	1.0	5.0	NA	NA	NA	hr	geometric mean, fasted
Murphy2015	all	24.0	CAN150, MET1000	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	19.8	NA	NA	NA	6.3	NA	NA	hr	geometric mean, fasted
