study	name	time	time_end	time_unit	route	application	measurement_type	choice	form	substance	value	unit	comments
Murphy2015	CAN150	0	NA	hr	oral	single dose	dosing	NA	tablet	canagliflozin	150.0	mg	canagliflozin/metformin (150/1,000 mg) immediate-release fixed-dose combination tablet
Murphy2015	MET1000	0	NA	hr	oral	single dose	dosing	NA	tablet	metformin	1000.0	mg	canagliflozin/metformin (150/1,000 mg) immediate-release fixed-dose combination tablet
Murphy2015	FED	0	NA	hr	oral	single dose	fasting	N	food	NA	NA	NA	concomitant intake of a standardized, high-fat breakfast relative to fasted state on the PK of the canagliflozin/ metformin IR FDC tablet.
