,author,keywords,pmc,pmid,prob,pubdate,title
0,D Devineni; P Manitpisitkul; J Murphy; D Skee; E Wajs; RN Mamidi; H Tian; A Vandebosch; SS Wang; T Verhaeghe; H Stieltjes; K Usiskin,canagliflozin; glyburide; metformin; pharmacokinetics; simvastatin; type-2 diabetes mellitus,,27140803,0.9992491602897644,2015,"Effect of canagliflozin on the pharmacokinetics of glyburide, metformin, and simvastatin in healthy participants."
1,C Lu; Y Yang; Q Zhang; R Zhou; Z Liu; W Hu,,,31549623,0.9992375373840332,2019,Pharmacokinetic and bioequivalence study of emtricitabine/tenofovir disoproxil fumarate tablets in healthy Chinese subjects .
2,W Hu; Y Yang; Q Zhang; Y Yang; R Zhou; C Lu; Z Liu,,,31347489,0.9991757273674011,2020,Pharmacokinetics and bioequivalence of two oral formulations of canagliflozin after single-dose administration in healthy Chinese subjects .
3,N Inagaki; K Kondo; T Yoshinari; M Ishii; M Sakai; H Kuki; K Furihata,,,25200141,0.9989832043647766,2014,Pharmacokinetic and pharmacodynamic profiles of canagliflozin in Japanese patients with type 2 diabetes mellitus and moderate renal impairment.
4,D Devineni; N Vaccaro; D Polidori; H Stieltjes; E Wajs,,,25500487,0.9989333748817444,2015,"Single- and multiple-dose pharmacokinetics and pharmacodynamics of canagliflozin, a selective inhibitor of sodium glucose co-transporter 2, in healthy participants."
5,D Devineni; N Vaccaro; D Polidori; S Rusch; E Wajs,canagliflozin; diuretic; drug–drug interaction; hydrochlorothiazide; pharmacodynamics; pharmacokinetics; sodium glucose co-transporter 2 (SGLT2) inhibitor; type 2 diabetes mellitus,,24726680,0.9987442493438721,2014,"Effects of hydrochlorothiazide on the pharmacokinetics, pharmacodynamics, and tolerability of canagliflozin, a sodium glucose co-transporter 2 inhibitor, in healthy participants."
6,D Devineni; J Murphy; SS Wang; H Stieltjes; P Rothenberg; E Scheers; RN Mamidi,AMS; absolute bioavailability; canagliflozin; microtracer; pharmacokinetics,,27136910,0.998344898223877,2015,Absolute oral bioavailability and pharmacokinetics of canagliflozin: A microdose study in healthy participants.
7,X Chen; P Hu; N Vaccaro; D Polidori; CR Curtin; H Stieltjes; S Sha; S Weiner; D Devineni,canagliflozin; pharmacodynamics; pharmacokinetics; safety; sodium-glucose cotransporter 2 inhibitor,,26048186,0.9981953501701355,2015,"Pharmacokinetics, Pharmacodynamics, and Safety of Single-Dose Canagliflozin in Healthy Chinese Subjects."
8,H Iijima; T Kifuji; N Maruyama; N Inagaki,Canagliflozin; Dehydration; Japanese patients; Pharmacodynamics; Pharmacokinetics; Sodium glucose co-transporter 2 inhibitor; Type 2 diabetes mellitus; Urine volume,,26280756,0.9977266192436218,2015,"Pharmacokinetics, Pharmacodynamics, and Safety of Canagliflozin in Japanese Patients with Type 2 Diabetes Mellitus."
9,D Devineni; CR Curtin; TC Marbury; W Smith; N Vaccaro; D Wexler; A Vandebosch; S Rusch; H Stieltjes; E Wajs,ESRD; T2DM; canagliflozin; hepatic impairment; pharmacokinetics; renal impairment,,25659911,0.9974058270454407,2015,"Effect of hepatic or renal impairment on the pharmacokinetics of canagliflozin, a sodium glucose co-transporter 2 inhibitor."
