study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	se	sd	unit	comments
Sha2011	NA	CAN10	6.0	CAN10	renal threshold 	glucose	urine	LC MS/MS	renal_threshold_CAN10	24.0	hr	NA	113.537387017255	113.937974520135	6.0	14.6969384566991	mg/dl	estimated 
Sha2011	NA	CAN30	6.0	CAN30	renal threshold 	glucose	urine	LC MS/MS	renal_threshold_CAN30	24.0	hr	NA	101.542075986946	104.623374290955	3.081298304009	7.54760859012524	mg/dl	NA
Sha2011	NA	CAN100	6.0	CAN100	renal threshold 	glucose	urine	LC MS/MS	renal_threshold_CAN100	24.0	hr	NA	69.8570155359537	72.3220443247609	2.46502878880719	6.03806273384845	mg/dl	NA
Sha2011	NA	CAN200	6.0	CAN200	renal threshold 	glucose	urine	LC MS/MS	renal_threshold_CAN200	24.0	hr	NA	71.2656650052696	73.2068893421548	1.9412243368852	4.75500910164137	mg/dl	NA
Sha2011	NA	CAN400	6.0	CAN400	renal threshold 	glucose	urine	LC MS/MS	renal_threshold_CAN400	24.0	hr	NA	67.2511304228145	70.0551567169805	2.80402629416601	6.86843364605396	mg/dl	NA
Sha2011	NA	CAN600	6.0	CAN600	renal threshold 	glucose	urine	LC MS/MS	renal_threshold_CAN600	24.0	hr	NA	61.2644471657186	64.0993238896432	2.8348767239246	6.94400145730809	mg/dl	NA
Sha2011	NA	CAN800	6.0	CAN800	renal threshold 	glucose	urine	LC MS/MS	renal_threshold_CAN800	24.0	hr	NA	61.687028456714	64.1829199932793	2.4958915365653	6.11366071791604	mg/dl	NA
Sha2011	NA	CAN400_BID	6.0	CAN400_BID	renal threshold 	glucose	urine	LC MS/MS	renal_threshold_CAN400_BID	24.0	hr	NA	62.2636524905106	65.2834100689956	3.01975757848499	7.39686521419075	mg/dl	NA
Sha2011	NA	CAN0	15.0	CAN0	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN0	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Sha2011	NA	CAN0	15.0	CAN0	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN0	24.0	hr	NA	0.1	0.3	0.2	0.774596669241484	g	NA
Sha2011	NA	CAN10	6.0	CAN10	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN10	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Sha2011	NA	CAN10	6.0	CAN10	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN10	24.0	hr	NA	8.0	8.6	0.6	1.46969384566991	g	NA
Sha2011	NA	CAN30	6.0	CAN30	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN30	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Sha2011	NA	CAN30	6.0	CAN30	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN30	24.0	hr	NA	17.5	20.3	2.8	6.8585712797929	g	NA
Sha2011	NA	CAN100	6.0	CAN100	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN100	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Sha2011	NA	CAN100	6.0	CAN100	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN100	24.0	hr	NA	43.6	46.2	2.6	6.36867333123627	g	NA
Sha2011	NA	CAN200	6.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN200	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Sha2011	NA	CAN200	6.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN200	24.0	hr	NA	48.6	52.2	3.6	8.81816307401944	g	NA
Sha2011	NA	CAN400	6.0	CAN400	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN400	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Sha2011	NA	CAN400	6.0	CAN400	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN400	24.0	hr	NA	65.1	69.7	4.60000000000001	11.2676528168026	g	NA
Sha2011	NA	CAN600	6.0	CAN600	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN600	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Sha2011	NA	CAN600	6.0	CAN600	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN600	24.0	hr	NA	69.2	73.8	4.59999999999999	11.2676528168026	g	NA
Sha2011	NA	CAN800	6.0	CAN800	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN800	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Sha2011	NA	CAN800	6.0	CAN800	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN800	24.0	hr	NA	65.5	70.6	5.09999999999999	12.4923976881942	g	NA
Sha2011	NA	CAN400_BID	6.0	CAN400_BID	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN400_BID	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Sha2011	NA	CAN400_BID	6.0	CAN400_BID	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN400_BID	24.0	hr	NA	58.7	62.0	3.3	8.08331615118448	g	NA
