study	name	time	time_end	time_unit	route	application	measurement_type	choice	form	substance	value	unit	comments
Wattamwar2020	CAN150	0	NA	hr	oral	single dose	dosing	NA	tablet	canagliflozin	150.0	mg	NA
Wattamwar2020	MET1000	0	NA	hr	oral	single dose	dosing	NA	tablet	canagliflozin	1000.0	mg	NA
Wattamwar2020	FED	0	NA	hr	oral	single dose	fasting	N	food	NA	NA	NA	NA
