study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Tamborlane2018	CAN100	8.0	CAN100	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	951.0	NA	NA	NA	429.0	NA	NA	ng/ml	NA
Tamborlane2018	CAN100	8.0	CAN100	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	1.6	NA	1.0	2.0	NA	NA	NA	hr	NA
Tamborlane2018	CAN100	8.0	CAN100	auc_end	canagliflozin	urine	LC MS/MS	24.0	hr	6190.0	NA	NA	NA	1770.0	NA	NA	ng*hr/ml	NA
Tamborlane2018	CAN100	8.0	CAN100	thalf	canagliflozin	urine	LC MS/MS	NA	NA	11.3	NA	NA	NA	2.5	NA	NA	hr	NA
Tamborlane2018	CAN100	8.0	CAN100	clearance	canagliflozin	urine	LC MS/MS	NA	NA	17.5	NA	NA	NA	5.8	NA	NA	l/hr	NA
Tamborlane2018	CAN100	8.0	CAN100	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	3260.0	NA	NA	NA	1330.0	NA	NA	ng/ml	NA
Tamborlane2018	CAN100	8.0	CAN100	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	2.4	NA	1.0	4.0	NA	NA	NA	hr	NA
Tamborlane2018	CAN100	8.0	CAN100	auc_end	canagliflozin	urine	LC MS/MS	24.0	hr	28392.0	NA	NA	NA	12412.0	NA	NA	ng*hr/ml	NA
Tamborlane2018	CAN100	8.0	CAN100	thalf	canagliflozin	urine	LC MS/MS	NA	NA	15.2	NA	NA	NA	6.9	NA	NA	hr	NA
Tamborlane2018	CAN100	8.0	CAN100	clearance	canagliflozin	urine	LC MS/MS	NA	NA	12.3	NA	NA	NA	6.9	NA	NA	l/hr	NA
