study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015d	study 1	14.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300	24.0	hr	0.578	NA	NA	NA	0.18	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN300	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN300	24.0	hr	1.7339999999999998	NA	NA	NA	0.54	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300	24.0	hr	20.1	NA	NA	NA	5.72	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_urine_CAN300	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_urine_CAN300	24.0	hr	60.300000000000004	NA	NA	NA	17.16	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300	24.0	hr	9.23	NA	NA	NA	3.41	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_urine_CAN300	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_urine_CAN300	24.0	hr	27.69	NA	NA	NA	10.229999999999999	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300_RIF600	24.0	hr	0.257	NA	NA	NA	0.127	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN300_RIF600	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN300_RIF600	24.0	hr	0.771	NA	NA	NA	0.381	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300_RIF600	24.0	hr	12.8	NA	NA	NA	2.75	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	M7	urine	LC MS/MS	M7_urine_CAN300_RIF600	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	M7	urine	LC MS/MS	M7_urine_CAN300_RIF600	24.0	hr	38.4	NA	NA	NA	8.25	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_RIF600	24.0	hr	8.67	NA	NA	NA	2.79	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	M5	urine	LC MS/MS	M5_urine_CAN300_RIF600	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	M5	urine	LC MS/MS	M5_urine_CAN300_RIF600	24.0	hr	26.009999999999998	NA	NA	NA	8.370000000000001	NA	NA	mg	NA
