study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015d	study 1	14.0	CAN300	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2474.0	NA	NA	NA	805.0	NA	NA	ng/ml	NA
Devineni2015d	study 1	14.0	CAN300	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	21695.0	NA	NA	NA	6151.0	NA	NA	ng*hr/ml	NA
Devineni2015d	study 1	14.0	CAN300	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	2.0	1.0	4.0	NA	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	12.9	NA	NA	NA	2.42	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	24.0	hr	0.578	NA	NA	NA	0.18	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	24.0	hr	1.7339999999999998	NA	NA	NA	0.54	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	clearance_renal	canagliflozin	plasma	LC MS/MS	NA	NA	0.0849	NA	NA	NA	0.0318	NA	NA	l/hr	NA
Devineni2015d	study 1	14.0	CAN300	cmax	M7	plasma	LC MS/MS	NA	NA	1905.0	NA	NA	NA	943.0	NA	NA	ng/ml	NA
Devineni2015d	study 1	14.0	CAN300	auc_inf	M7	plasma	LC MS/MS	NA	NA	20771.0	NA	NA	NA	10728.0	NA	NA	ng*hr/ml	NA
Devineni2015d	study 1	14.0	CAN300	tmax	M7	plasma	LC MS/MS	NA	NA	NA	3.5	2.0	6.0	NA	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300	thalf	M7	plasma	LC MS/MS	NA	NA	13.3	NA	NA	NA	2.65	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300	recovery	M7	urine	LC MS/MS	24.0	hr	20.1	NA	NA	NA	5.72	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	M7	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	M7	urine	LC MS/MS	24.0	hr	60.300000000000004	NA	NA	NA	17.16	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	clearance_renal	M7	plasma	LC MS/MS	NA	NA	4.62	NA	NA	NA	1.62	NA	NA	l/hr	NA
Devineni2015d	study 1	14.0	CAN300	cmax	M5	plasma	LC MS/MS	NA	NA	2420.0	NA	NA	NA	1196.0	NA	NA	ng/ml	NA
Devineni2015d	study 1	14.0	CAN300	auc_inf	M5	plasma	LC MS/MS	NA	NA	21903.0	NA	NA	NA	9556.0	NA	NA	ng*hr/ml	NA
Devineni2015d	study 1	14.0	CAN300	tmax	M5	plasma	LC MS/MS	NA	NA	NA	4.0	3.0	10.0	NA	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300	thalf	M5	plasma	LC MS/MS	NA	NA	12.4	NA	NA	NA	2.43	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300	recovery	M5	urine	LC MS/MS	24.0	hr	9.23	NA	NA	NA	3.41	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	M5	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	cumulative amount	M5	urine	LC MS/MS	24.0	hr	27.69	NA	NA	NA	10.229999999999999	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300	clearance_renal	M5	plasma	LC MS/MS	NA	NA	1.87	NA	NA	NA	0.559	NA	NA	l/hr	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1732.0	NA	NA	NA	385.0	NA	NA	ng/ml	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	10489.0	NA	NA	NA	2535.0	NA	NA	ng*hr/ml	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.79	1.0	4.0	NA	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	11.2	NA	NA	NA	3.22	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	recovery	canagliflozin	urine	LC MS/MS	24.0	hr	0.257	NA	NA	NA	0.127	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	canagliflozin	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	canagliflozin	urine	LC MS/MS	24.0	hr	0.771	NA	NA	NA	0.381	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	clearance_renal	canagliflozin	plasma	LC MS/MS	NA	NA	0.0791	NA	NA	NA	0.0477	NA	NA	l/hr	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cmax	M7	plasma	LC MS/MS	NA	NA	2340.0	NA	NA	NA	631.0	NA	NA	ng/ml	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	auc_inf	M7	plasma	LC MS/MS	NA	NA	13390.0	NA	NA	NA	4560.0	NA	NA	ng*hr/ml	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	tmax	M7	plasma	LC MS/MS	NA	NA	NA	3.0	2.0	4.0	NA	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	thalf	M7	plasma	LC MS/MS	NA	NA	10.7	NA	NA	NA	5.23	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	recovery	M7	urine	LC MS/MS	24.0	hr	12.8	NA	NA	NA	2.75	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	M7	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	M7	urine	LC MS/MS	24.0	hr	38.4	NA	NA	NA	8.25	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	clearance_renal	M7	plasma	LC MS/MS	NA	NA	0.0791	NA	NA	NA	0.0477	NA	NA	l/hr	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cmax	M5	plasma	LC MS/MS	NA	NA	3616.0	NA	NA	NA	1095.0	NA	NA	ng/ml	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	auc_inf	M5	plasma	LC MS/MS	NA	NA	23122.0	NA	NA	NA	8944.0	NA	NA	ng*hr/ml	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	tmax	M5	plasma	LC MS/MS	NA	NA	NA	4.0	2.0	4.0	NA	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	thalf	M5	plasma	LC MS/MS	NA	NA	13.1	NA	NA	NA	3.12	NA	NA	hr	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	recovery	M5	urine	LC MS/MS	24.0	hr	8.67	NA	NA	NA	2.79	NA	NA	percent	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	M5	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	cumulative amount	M5	urine	LC MS/MS	24.0	hr	26.009999999999998	NA	NA	NA	8.370000000000001	NA	NA	mg	NA
Devineni2015d	study 1	14.0	CAN300, RIF600	clearance_renal	M5	plasma	LC MS/MS	NA	NA	1.73	NA	NA	NA	0.589	NA	NA	l/hr	NA
