study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2016	all	15.0	CAN200	concentration	glucose	plasma	LC MS/MS	glucose_CAN200	0.0	hr	90.0				8.51				mg/dl	mg/dl
Devineni2016	all	15.0	CAN200	concentration	glucose	plasma	LC MS/MS	glucose_CAN200	28.0	hr	89.8				4.83				mg/dl	mg/dl
