study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015a	CAN50	9.0	CAN50_d1	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN50_d1_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d1	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN50_d1_recovery	48.0	hr	0.41	NA	NA	NA	0.215	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d1	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN100_d1_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d1	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN100_d1_recovery	48.0	hr	0.36	NA	NA	NA	0.129	NA	NA	percent	NA
Devineni2015a	CAN300	9.0	CAN300_d1	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN300_d1_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN300	9.0	CAN300_d1	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN300_d1_recovery	48.0	hr	0.41	NA	NA	NA	0.118	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d1	recovery	M7	urine	LC MS/MS	M7_CAN50_d1_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d1	recovery	M7	urine	LC MS/MS	M7_CAN50_d1_recovery	48.0	hr	15.9	NA	NA	NA	3.5	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d1	recovery	M7	urine	LC MS/MS	M7_CAN100_d1_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d1	recovery	M7	urine	LC MS/MS	M7_CAN100_d1_recovery	48.0	hr	17.6	NA	NA	NA	2.72	NA	NA	percent	NA
Devineni2015a	CAN300	9.0	CAN300_d1	recovery	M7	urine	LC MS/MS	M7_CAN300_d1_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN300	9.0	CAN300_d1	recovery	M7	urine	LC MS/MS	M7_CAN300_d1_recovery	48.0	hr	16.3	NA	NA	NA	3.14	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d1	recovery	M5	urine	LC MS/MS	M5_CAN50_d1_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d1	recovery	M5	urine	LC MS/MS	M5_CAN50_d1_recovery	48.0	hr	8.0	NA	NA	NA	3.91	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d1	recovery	M5	urine	LC MS/MS	M5_CAN100_d1_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d1	recovery	M5	urine	LC MS/MS	M5_CAN100_d1_recovery	48.0	hr	8.21	NA	NA	NA	1.84	NA	NA	percent	NA
Devineni2015a	CAN300	9.0	CAN300_d1	recovery	M5	urine	LC MS/MS	M5_CAN300_d1_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN300	9.0	CAN300_d1	recovery	M5	urine	LC MS/MS	M5_CAN300_d1_recovery	48.0	hr	8.7	NA	NA	NA	2.86	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d9	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN50_d9_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d9	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN50_d9_recovery	48.0	hr	0.63	NA	NA	NA	0.426	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d9	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN100_d9_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d9	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN100_d9_recovery	48.0	hr	0.63	NA	NA	NA	0.426	NA	NA	percent	NA
Devineni2015a	CAN300	9.0	CAN300_d9	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN300_d9_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN300	9.0	CAN300_d9	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_CAN300_d9_recovery	48.0	hr	0.89	NA	NA	NA	0.346	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d9	recovery	M7	urine	LC MS/MS	M7_CAN50_d9_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d9	recovery	M7	urine	LC MS/MS	M7_CAN50_d9_recovery	48.0	hr	19.3	NA	NA	NA	4.97	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d9	recovery	M7	urine	LC MS/MS	M7_CAN100_d9_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
Devineni2015a	CAN100	9.0	CAN100_d9	recovery	M7	urine	LC MS/MS	M7_CAN100_d9_recovery	48.0	hr	20.6	NA	NA	NA	4.84	NA	NA	percent	NA
Devineni2015a	CAN300	9.0	CAN300_d9	recovery	M7	urine	LC MS/MS	M7_CAN300_d9_recovery	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent	NA
