study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015a	CAN50	9.0	CAN50_d1	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	521.0	NA	NA	NA	132.0	NA	NA	ng/ml	NA
Devineni2015a	CAN50	9.0	CAN50_d1	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.0	0.98	1.5	NA	NA	NA	hr	NA
Devineni2015a	CAN50	9.0	CAN50_d1	auc_end	canagliflozin	plasma	LC MS/MS	24.0	hr	2678.0	NA	NA	NA	1238.0	NA	NA	ng/ml*hr	NA
Devineni2015a	CAN50	9.0	CAN50_d1	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	3087.0	NA	NA	NA	1606.0	NA	NA	ng/ml*hr	NA
Devineni2015a	CAN50	9.0	CAN50_d1	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	9.3	NA	NA	NA	2.42	NA	NA	hr	NA
Devineni2015a	CAN50	9.0	CAN50_d1	oral-clearance	canagliflozin	plasma	LC MS/MS	NA	NA	18.6	NA	NA	NA	5.56	NA	NA	l/hr	NA
Devineni2015a	CAN50	9.0	CAN50_d1	vd	canagliflozin	plasma	LC MS/MS	NA	NA	243.0	NA	NA	NA	93.7	NA	NA	l	NA
Devineni2015a	CAN50	9.0	CAN50_d1	recovery	canagliflozin	urine	LC MS/MS	24.0	hr	0.41	NA	NA	NA	0.215	NA	NA	percent	NA
Devineni2015a	CAN50	9.0	CAN50_d1	clearance_renal	canagliflozin	kidney	LC MS/MS	NA	NA	0.076	NA	NA	NA	0.0484	NA	NA	l/hr	NA
Devineni2015a	CAN100	9.0	CAN100_d1	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1031.0	NA	NA	NA	282.0	NA	NA	ng/ml	NA
Devineni2015a	CAN100	9.0	CAN100_d1	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.0	1.0	5.0	NA	NA	NA	hr	NA
