study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Mohamed2019	CAN50	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	50	mg	NA
Mohamed2019	MET850	0	NA	hr	oral	single dose	dosing	tablet	metformin	850	mg	NA
