study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2015d	study 2	12.0	CAN300_2, PRO500	cumulative amount	M5	urine	LC MS/MS	M5_urine_CAN300_2_PRO500	0.0	hr	0.0				0.0				mole	mg
Devineni2015d	study 2	12.0	CAN300_2, PRO500	cumulative amount	M5	urine	LC MS/MS	M5_urine_CAN300_2_PRO500	24.0	hr	1.4937157589429583e-05				4.55849178214631e-06				mole	mg
