study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015e	study 2	23.0	CAN50	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	551.0	NA	NA	NA	137.0	NA	NA	ng/ml	NA
Devineni2015e	study 2	23.0	CAN50	auc_end	canagliflozin	plasma	LC MS/MS	24.0	hr	3160.0	NA	NA	NA	809.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 2	23.0	CAN50	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	3236.0	NA	NA	NA	837.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 2	23.0	CAN50	tmax	canagliflozin	urine	LC MS/MS	NA	NA	NA	1.5	1.0	5.0	NA	NA	NA	hr	NA
Devineni2015e	study 2	23.0	CAN50	thalf	canagliflozin	urine	LC MS/MS	NA	NA	9.4	NA	NA	NA	1.28	NA	NA	hr	NA
Devineni2015e	study 2	24.0	CAN100	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1069.0	NA	NA	NA	277.0	NA	NA	ng/ml	NA
Devineni2015e	study 2	24.0	CAN100	auc_end	canagliflozin	plasma	LC MS/MS	24.0	hr	6858.0	NA	NA	NA	1634.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 2	24.0	CAN100	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	6871.0	NA	NA	NA	1751.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 2	24.0	CAN100	tmax	canagliflozin	urine	LC MS/MS	NA	NA	NA	1.5	1.0	5.0	NA	NA	NA	hr	NA
Devineni2015e	study 2	24.0	CAN100	thalf	canagliflozin	urine	LC MS/MS	NA	NA	10.1	NA	NA	NA	1.85	NA	NA	hr	NA
Devineni2015e	study 2	24.0	CAN300	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2939.0	NA	NA	NA	524.0	NA	NA	ng/ml	NA
Devineni2015e	study 2	24.0	CAN300	auc_end	canagliflozin	plasma	LC MS/MS	24.0	hr	20945.0	NA	NA	NA	4530.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 2	24.0	CAN300	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	20972.0	NA	NA	NA	4481.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 2	24.0	CAN300	tmax	canagliflozin	urine	LC MS/MS	NA	NA	NA	1.52	1.0	4.98	NA	NA	NA	hr	NA
Devineni2015e	study 2	24.0	CAN300	thalf	canagliflozin	urine	LC MS/MS	NA	NA	11.1	NA	NA	NA	1.6	NA	NA	hr	NA
