study	name	time	time_end	time_unit	route	application	measurement_type	choice	form	substance	value	unit	comments
Devineni2015e	CAN300	0	NA	hr	oral	single dose	dosing	NA	tablet	canagliflozin	300.0	mg	NA
Devineni2015e	CAN50	0	NA	hr	oral	single dose	dosing	NA	tablet	canagliflozin	50.0	mg	NA
Devineni2015e	CAN100	0	NA	hr	oral	single dose	dosing	NA	tablet	canagliflozin	100.0	mg	NA
Devineni2015e	FED	0	NA	hr	oral	single dose	fasting	N	food	NA	NA	NA	NA
