study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015e	study 1	22.0	CAN300, FED	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	3026.0	NA	NA	NA	904.0	NA	NA	ng/ml	NA
Devineni2015e	study 1	22.0	CAN300, FED	auc_end	canagliflozin	plasma	LC MS/MS	24.0	hr	25806.0	NA	NA	NA	4432.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 1	22.0	CAN300, FED	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	26221.0	NA	NA	NA	4527.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 1	22.0	CAN300, FED	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	2.0	1.0	5.0	NA	NA	NA	hr	NA
Devineni2015e	study 1	22.0	CAN300, FED	thalf	canagliflozin	urine	LC MS/MS	NA	NA	12.6	NA	NA	NA	3.14	NA	NA	hr	NA
Devineni2015e	study 1	21.0	CAN300	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2975.0	NA	NA	NA	559.0	NA	NA	ng/ml	NA
Devineni2015e	study 1	21.0	CAN300	auc_end	canagliflozin	plasma	LC MS/MS	24.0	hr	23920.0	NA	NA	NA	4287.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 1	21.0	CAN300	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	24400.0	NA	NA	NA	4584.0	NA	NA	ng*hr/ml	NA
Devineni2015e	study 1	21.0	CAN300	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	2.0	1.0	4.0	NA	NA	NA	hr	NA
Devineni2015e	study 1	21.0	CAN300	thalf	canagliflozin	urine	LC MS/MS	NA	NA	12.9	NA	NA	NA	3.4	NA	NA	hr	NA
