study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Devineni2015e	all	48.0	NA	species	48.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	all	48.0	NA	healthy	48.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	all	48.0	NA	sex	48.0	NA	MF	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	all	48.0	NA	age	48.0	NA	NA	NA	NA	NA	NA	18.0	55.0	yr	NA
Devineni2015e	all	48.0	NA	bmi	48.0	NA	NA	NA	NA	NA	NA	18.0	30.0	kg/m^2	NA
Devineni2015e	all	48.0	NA	weight	48.0	NA	NA	NA	NA	NA	NA	50.0	NA	kg	NA
Devineni2015e	all	48.0	NA	pregnant	48.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	all	48.0	NA	breastfeeding	48.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	all	48.0	NA	alcohol	48.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	all	48.0	NA	medication	48.0	NA	N	NA	NA	NA	NA	NA	NA	NA	Participants in both the studies refrained from taking any over-the-counter or prescription medications (with the exception of paracetamol, oral contraceptives, and hormonal replacement therapy) for at least 14 days prior to the first drug administration and throughout the study.
Devineni2015e	study 1	24.0	all	age	24.0	NA	NA	27.1	NA	8.48	NA	NA	NA	yr	NA
Devineni2015e	study 1	24.0	all	sex	16.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	study 1	24.0	all	sex	8.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	study 1	24.0	all	ethnicity	13.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	study 1	24.0	all	weight	24.0	NA	NA	73.4	NA	13.13	NA	NA	NA	kg	NA
Devineni2015e	study 1	24.0	all	bmi	24.0	NA	NA	24.3	NA	2.97	NA	NA	NA	kg/m^2	NA
Devineni2015e	study 1	24.0	all	overnight fast	24.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	study 2	24.0	all	age	24.0	NA	NA	39.8	NA	7.9	NA	NA	NA	yr	NA
Devineni2015e	study 2	24.0	all	sex	12.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	study 2	24.0	all	sex	12.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	study 2	24.0	all	ethnicity	23.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015e	study 2	24.0	all	weight	24.0	NA	NA	72.6	NA	11.5	NA	NA	NA	kg	NA
Devineni2015e	study 2	24.0	all	bmi	24.0	NA	NA	24.3	NA	3.0	NA	NA	NA	kg/m^2	NA
