study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Chen2015	all	14.0	CAN100	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN100	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Chen2015	all	14.0	CAN100	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN100	24.0	hr	0.496	NA	NA	NA	0.21	NA	NA	percent	NA
Chen2015	all	14.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Chen2015	all	14.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300	24.0	hr	0.481	NA	NA	NA	0.12	NA	NA	percent	NA
Chen2015	all	14.0	CAN100	recovery	M7	urine	LC MS/MS	M7_recovery_CAN100	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Chen2015	all	14.0	CAN100	recovery	M7	urine	LC MS/MS	M7_recovery_CAN100	24.0	hr	17.5	NA	NA	NA	5.23	NA	NA	percent	NA
Chen2015	all	14.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Chen2015	all	14.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300	24.0	hr	17.0	NA	NA	NA	3.39	NA	NA	percent	NA
Chen2015	all	14.0	CAN100	recovery	M5	urine	LC MS/MS	M5_recovery_CAN100	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Chen2015	all	14.0	CAN100	recovery	M5	urine	LC MS/MS	M5_recovery_CAN100	24.0	hr	8.78	NA	NA	NA	2.94	NA	NA	percent	NA
Chen2015	all	14.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Chen2015	all	14.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300	24.0	hr	8.83	NA	NA	NA	2.47	NA	NA	percent	NA
Chen2015	all	14.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN100	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Chen2015	all	14.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN100	24.0	hr	0.496	NA	NA	NA	0.21	NA	NA	mg	NA
Chen2015	all	14.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Chen2015	all	14.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300	24.0	hr	1.443	NA	NA	NA	0.36	NA	NA	mg	NA
Chen2015	all	14.0	CAN100	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN100	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Chen2015	all	14.0	CAN100	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN100	24.0	hr	17.5	NA	NA	NA	5.23	NA	NA	mg	NA
Chen2015	all	14.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Chen2015	all	14.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300	24.0	hr	51.0	NA	NA	NA	10.17	NA	NA	mg	NA
Chen2015	all	14.0	CAN100	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN100	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Chen2015	all	14.0	CAN100	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN100	24.0	hr	8.78	NA	NA	NA	2.94	NA	NA	mg	NA
Chen2015	all	14.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN300	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Chen2015	all	14.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN300	24.0	hr	26.49	NA	NA	NA	7.41	NA	NA	mg	NA
