study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Chen2015	CAN0	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	0	mg	placebo
Chen2015	CAN100	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	150	mg	NA
Chen2015	CAN300	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	300	mg	NA
