study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Chen2015	all	15	NA	species	15	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Chen2015	all	15	NA	healthy	15	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Chen2015	all	15	NA	sex	6	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Chen2015	all	15	NA	sex	9	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Chen2015	all	15	NA	age	15	NA	NA	29.5	NA	4.9	NA	18.0	55.0	yr	NA
Chen2015	all	15	NA	bmi	15	NA	NA	22.0	NA	2.08	NA	18.0	28.0	kg/m^2	NA
Chen2015	all	15	NA	weight	15	NA	NA	63.0	NA	7.32	NA	50.0	NA	kg	NA
Chen2015	all	15	NA	gfr	15	NA	NA	103.0	NA	11.44	NA	NA	NA	ml/min/(1.73*m^2)	NA
Chen2015	all	15	NA	pregnant	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Chen2015	all	15	NA	breastfeeding	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Chen2015	all	15	NA	smoking	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Chen2015	all	15	NA	medication	15	NA	N	NA	NA	NA	NA	NA	NA	NA	Subjects were prohibited from taking any over-the-counter or prescribed medications except acetaminophen for at least 14 days before study initiation and throughout the study. Women on hormone replacement therapy or  contraceptives continued the same medication throught the study
Chen2015	all	15	NA	ethnicity	15	NA	chinese	NA	NA	NA	NA	NA	NA	NA	NA
Chen2015	all	15	NA	alcohol	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
