study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Mamidi2014	intact mouse male	4.0	14C_CAN100	recovery	canagliflozin 	plasma	LC MS/MS	canagliflozin_recovery_plasma_14C_CAN100_mouse_male	24.0	hr	94.2	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	intact mouse male	4.0	14C_CAN100	cumulative amount	canagliflozin 	plasma	LC MS/MS	canagliflozin_plasma_14C_CAN100_mouse_male	24.0	hr	94.2	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	intact mouse male	4.0	14C_CAN100	recovery	M7	plasma	LC MS/MS	M7_recovery_plasma_14C_CAN100_mouse_male	24.0	hr	2.6	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	intact mouse male	4.0	14C_CAN100	cumulative amount	M7	plasma	LC MS/MS	M7_plasma_14C_CAN100_mouse_male	24.0	hr	2.6	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	intact mouse male	4.0	14C_CAN100	recovery	M9	plasma	LC MS/MS	M9_recovery_plasma_14C_CAN100_mouse_male	24.0	hr	1.6	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	intact mouse male	4.0	14C_CAN100	cumulative amount	M9	plasma	LC MS/MS	M9_plasma_14C_CAN100_mouse_male	24.0	hr	1.6	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	intact mouse female	4.0	14C_CAN100	recovery	canagliflozin 	plasma	LC MS/MS	canagliflozin_recovery_plasma_14C_CAN100_mouse_female	24.0	hr	93.9	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	intact mouse female	4.0	14C_CAN100	cumulative amount	canagliflozin 	plasma	LC MS/MS	canagliflozin_plasma_14C_CAN100_mouse_female	24.0	hr	93.9	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	intact mouse female	4.0	14C_CAN100	recovery	M7	plasma	LC MS/MS	M7_recovery_plasma_14C_CAN100_mouse_female	24.0	hr	1.6	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	intact mouse female	4.0	14C_CAN100	cumulative amount	M7	plasma	LC MS/MS	M7_plasma_14C_CAN100_mouse_female	24.0	hr	1.6	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	intact mouse female	4.0	14C_CAN100	recovery	M9	plasma	LC MS/MS	M9_recovery_plasma_14C_CAN100_mouse_female	24.0	hr	2.2	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	intact mouse female	4.0	14C_CAN100	cumulative amount	M9	plasma	LC MS/MS	M9_plasma_14C_CAN100_mouse_female	24.0	hr	2.2	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	intact rat male	4.0	14C_CAN3	recovery	canagliflozin 	plasma	LC MS/MS	canagliflozin_recovery_plasma_14C_CAN3_rat_male	24.0	hr	98.2	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	intact rat male	4.0	14C_CAN3	cumulative amount	canagliflozin 	plasma	LC MS/MS	canagliflozin_plasma_14C_CAN3_rat_male	24.0	hr	2.9459999999999997	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	intact rat female	4.0	14C_CAN3	recovery	canagliflozin 	plasma	LC MS/MS	canagliflozin_recovery_plasma_14C_CAN3_rat_female	24.0	hr	98.6	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	intact rat female	4.0	14C_CAN3	cumulative amount	canagliflozin 	plasma	LC MS/MS	canagliflozin_plasma_14C_CAN3_rat_female	24.0	hr	2.958	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	dog	3.0	14C_CAN4	recovery	canagliflozin 	plasma	LC MS/MS	canagliflozin_recovery_plasma_14C_CAN4_dog	24.0	hr	98.7	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	dog	3.0	14C_CAN4	cumulative amount	canagliflozin 	plasma	LC MS/MS	canagliflozin_plasma_14C_CAN4_dog	24.0	hr	3.948	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	human	6.0	14C_CAN188	recovery	canagliflozin 	plasma	LC MS/MS	canagliflozin_recovery_plasma_14C_CAN188_human	24.0	hr	61.8	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	canagliflozin 	plasma	LC MS/MS	canagliflozin_plasma_14C_CAN188_human	24.0	hr	116.184	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	human	6.0	14C_CAN188	recovery	M5	plasma	LC MS/MS	M5_recovery_plasma_14C_CAN188_human	24.0	hr	19.2	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	M5	plasma	LC MS/MS	M5_plasma_14C_CAN188_human	24.0	hr	36.096000000000004	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	human	6.0	14C_CAN188	recovery	M7	plasma	LC MS/MS	M7_recovery_plasma_14C_CAN188_human	24.0	hr	13.6	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	M7	plasma	LC MS/MS	M7_plasma_14C_CAN188_human	24.0	hr	25.568	NA	NA	NA	NA	NA	NA	g	NA
Mamidi2014	human	6.0	14C_CAN188	recovery	M9	plasma	LC MS/MS	M9_recovery_plasma_14C_CAN188_human	24.0	hr	3.1	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	M9	plasma	LC MS/MS	M9_plasma_14C_CAN188_human	24.0	hr	5.828	NA	NA	NA	NA	NA	NA	g	NA
