study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Mamidi2014	human	6.0	14C_CAN188	recovery	M5	urine	LC MS/MS	M5_recovery_urine	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	recovery	M5	urine	LC MS/MS	M5_recovery_urine	48.0	hr	13.7	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	recovery	M7	urine	LC MS/MS	M7_recovery_urine	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	recovery	M7	urine	LC MS/MS	M7_recovery_urine	48.0	hr	18.2	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	recovery	total canagliflozin	urine	LC MS/MS	canagliflozin_total_recovey_urine	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	recovery	total canagliflozin	urine	LC MS/MS	canagliflozin_total_recovey_urine	48.0	hr	31.9	NA	NA	NA	NA	NA	NA	percent 	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	M5	urine	LC MS/MS	M5_cumulative amount_urine	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	M5	urine	LC MS/MS	M5_cumulative amount_urine	48.0	hr	25.755999999999997	NA	NA	NA	NA	NA	NA	mg	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	M7	urine	LC MS/MS	M7_cumulative amount_urine	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	M7	urine	LC MS/MS	M7_cumulative amount_urine	48.0	hr	34.216	NA	NA	NA	NA	NA	NA	mg	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	total canagliflozin	urine	LC MS/MS	canagliflozin_total_cumulative amount_urine	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Mamidi2014	human	6.0	14C_CAN188	cumulative amount	total canagliflozin	urine	LC MS/MS	canagliflozin_total_cumulative amount_urine	48.0	hr	59.972	NA	NA	NA	NA	NA	NA	mg	NA
