study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Mamidi2014	intact mouse male	4.0	14C_CAN100	cmax	total canagliflozin	plasma	LC MS/MS	NA	NA	29.9	NA	NA	NA	NA	NA	NA	ng/ml	NA
Mamidi2014	intact mouse male	4.0	14C_CAN100	tmax	total canagliflozin	plasma	LC MS/MS	NA	NA	7.0	NA	NA	NA	NA	NA	NA	hr	NA
Mamidi2014	intact mouse male	4.0	14C_CAN100	auc_inf	total canagliflozin	plasma	LC MS/MS	NA	NA	451.0	NA	NA	NA	NA	NA	NA	ng/ml*hr	NA
Mamidi2014	intact mouse female	4.0	14C_CAN100	cmax	total canagliflozin	plasma	LC MS/MS	NA	NA	34.79	NA	NA	NA	NA	NA	NA	ng/ml	NA
Mamidi2014	intact mouse female	4.0	14C_CAN100	tmax	total canagliflozin	plasma	LC MS/MS	NA	NA	4.0	NA	NA	NA	NA	NA	NA	hr	NA
Mamidi2014	intact mouse female	4.0	14C_CAN100	auc_inf	total canagliflozin	plasma	LC MS/MS	NA	NA	498.0	NA	NA	NA	NA	NA	NA	ng/ml*hr	NA
Mamidi2014	intact rat male	4.0	14C_CAN3	cmax	total canagliflozin	plasma	LC MS/MS	NA	NA	1.21	NA	NA	NA	NA	NA	NA	ng/ml	NA
Mamidi2014	intact rat male	4.0	14C_CAN3	tmax	total canagliflozin	plasma	LC MS/MS	NA	NA	8.0	NA	NA	NA	NA	NA	NA	hr	NA
Mamidi2014	intact rat male	4.0	14C_CAN3	auc_inf	total canagliflozin	plasma	LC MS/MS	NA	NA	17.7	NA	NA	NA	NA	NA	NA	ng/ml*hr	NA
Mamidi2014	intact rat female	4.0	14C_CAN3	cmax	total canagliflozin	plasma	LC MS/MS	NA	NA	0.933	NA	NA	NA	NA	NA	NA	ng/ml	NA
Mamidi2014	intact rat female	4.0	14C_CAN3	tmax	total canagliflozin	plasma	LC MS/MS	NA	NA	4.0	NA	NA	NA	NA	NA	NA	hr	NA
Mamidi2014	intact rat female	4.0	14C_CAN3	auc_inf	total canagliflozin	plasma	LC MS/MS	NA	NA	12.1	NA	NA	NA	NA	NA	NA	ng/ml*hr	NA
Mamidi2014	dog	3.0	14C_CAN4	cmax	total canagliflozin	plasma	LC MS/MS	NA	NA	5.49	NA	NA	NA	NA	NA	NA	ng/ml	NA
Mamidi2014	dog	3.0	14C_CAN4	tmax	total canagliflozin	plasma	LC MS/MS	NA	NA	1.0	NA	NA	NA	NA	NA	NA	hr	NA
Mamidi2014	dog	3.0	14C_CAN4	auc_inf	total canagliflozin	plasma	LC MS/MS	NA	NA	87.3	NA	NA	NA	NA	NA	NA	ng/ml*hr	NA
Mamidi2014	human	6.0	14C_CAN188	cmax	total canagliflozin	plasma	LC MS/MS	NA	NA	3.74	NA	NA	NA	NA	NA	NA	ng/ml	NA
Mamidi2014	human	6.0	14C_CAN188	tmax	total canagliflozin	plasma	LC MS/MS	NA	NA	NA	2.0	NA	NA	NA	NA	NA	hr	NA
Mamidi2014	human	6.0	14C_CAN188	auc_inf	total canagliflozin	plasma	LC MS/MS	NA	NA	28.2	NA	NA	NA	NA	NA	NA	ng/ml*hr	NA
