study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2013	CAN0	9.0	CAN0_d0	renal threshold	glucose	urine	LC MS/MS	24.0	hr	235.0	NA	NA	NA	27.0	NA	NA	mg/dl	placebo, baseline
Devineni2013	CAN0	9.0	CAN0_d0	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	placebo, baseline
Devineni2013	CAN0	9.0	CAN0_d0	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	9.8	NA	NA	NA	6.6	NA	NA	g	placebo, baseline
Devineni2013	CAN0	9.0	CAN0_d0	concentration	glucose	plasma	LC MS/MS	24.0	hr	207.0	NA	NA	NA	35.0	NA	NA	mg/dl	placebo, baseline
Devineni2013	CAN0	9.0	CAN0_d1	renal threshold	glucose	urine	LC MS/MS	24.0	hr	244.0	NA	NA	NA	26.0	NA	NA	mg/dl	placebo
Devineni2013	CAN0	9.0	CAN0_d1	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	placebo
Devineni2013	CAN0	9.0	CAN0_d1	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	12.4	NA	NA	NA	8.6	NA	NA	g	placebo
Devineni2013	CAN0	9.0	CAN0_d1	concentration	glucose	plasma	LC MS/MS	24.0	hr	214.0	NA	NA	NA	41.0	NA	NA	mg/dl	placebo
Devineni2013	CAN0	9.0	CAN0_d7	renal threshold	glucose	urine	LC MS/MS	24.0	hr	235.0	NA	NA	NA	32.0	NA	NA	mg/dl	placebo
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	placebo
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	16.2	NA	NA	NA	41.0	NA	NA	g	placebo
Devineni2013	CAN0	9.0	CAN0_d7	concentration	glucose	plasma	LC MS/MS	24.0	hr	215.0	NA	NA	NA	46.0	NA	NA	mg/dl	placebo
Devineni2013	CAN50	9.0	CAN50_d0	renal threshold	glucose	urine	LC MS/MS	24.0	hr	244.0	NA	NA	NA	35.0	NA	NA	mg/dl	baseline
Devineni2013	CAN50	9.0	CAN50_d0	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	baseline
Devineni2013	CAN50	9.0	CAN50_d0	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	14.5	NA	NA	NA	19.1	NA	NA	g	baseline
Devineni2013	CAN50	9.0	CAN50_d0	concentration	glucose	plasma	LC MS/MS	24.0	hr	217.0	NA	NA	NA	40.0	NA	NA	mg/dl	baseline
Devineni2013	CAN50	9.0	CAN50_d1	renal threshold	glucose	urine	LC MS/MS	24.0	hr	143.0	NA	NA	NA	30.0	NA	NA	mg/dl	NA
Devineni2013	CAN50	9.0	CAN50_d1	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2013	CAN50	9.0	CAN50_d1	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	80.8	NA	NA	NA	26.8	NA	NA	g	NA
Devineni2013	CAN50	9.0	CAN50_d1	concentration	glucose	plasma	LC MS/MS	24.0	hr	190.0	NA	NA	NA	33.0	NA	NA	mg/dl	NA
Devineni2013	CAN50	9.0	CAN50_d7	renal threshold	glucose	urine	LC MS/MS	24.0	hr	119.0	NA	NA	NA	33.0	NA	NA	mg/dl	NA
Devineni2013	CAN50	9.0	CAN50_d7	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2013	CAN50	9.0	CAN50_d7	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	99.3	NA	NA	NA	17.5	NA	NA	g	NA
Devineni2013	CAN50	9.0	CAN50_d7	concentration	glucose	plasma	LC MS/MS	24.0	hr	185.0	NA	NA	NA	38.0	NA	NA	mg/dl	NA
Devineni2013	CAN100	8.0	CAN100_d0	renal threshold	glucose	urine	LC MS/MS	24.0	hr	212.0	NA	NA	NA	22.0	NA	NA	mg/dl	baseline
Devineni2013	CAN100	8.0	CAN100_d0	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	baseline
Devineni2013	CAN100	8.0	CAN100_d0	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	15.6	NA	NA	NA	12.4	NA	NA	g	baseline
Devineni2013	CAN100	8.0	CAN100_d0	concentration	glucose	plasma	LC MS/MS	24.0	hr	195.0	NA	NA	NA	23.0	NA	NA	mg/dl	baseline
Devineni2013	CAN100	8.0	CAN100_d1	renal threshold	glucose	urine	LC MS/MS	24.0	hr	97.5	NA	NA	NA	21.0	NA	NA	mg/dl	NA
Devineni2013	CAN100	8.0	CAN100_d1	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2013	CAN100	8.0	CAN100_d1	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	117.3	NA	NA	NA	18.8	NA	NA	g	NA
Devineni2013	CAN100	8.0	CAN100_d1	concentration	glucose	plasma	LC MS/MS	24.0	hr	169.0	NA	NA	NA	19.0	NA	NA	mg/dl	NA
Devineni2013	CAN100	8.0	CAN100_d7	renal threshold	glucose	urine	LC MS/MS	24.0	hr	76.8	NA	NA	NA	16.0	NA	NA	mg/dl	NA
Devineni2013	CAN100	8.0	CAN100_d7	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2013	CAN100	8.0	CAN100_d7	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	119.1	NA	NA	NA	30.7	NA	NA	g	NA
Devineni2013	CAN100	8.0	CAN100_d7	concentration	glucose	plasma	LC MS/MS	24.0	hr	158.0	NA	NA	NA	18.0	NA	NA	mg/dl	NA
Devineni2013	CAN300	10.0	CAN300_d0	renal threshold	glucose	urine	LC MS/MS	24.0	hr	237.0	NA	NA	NA	33.0	NA	NA	mg/dl	baseline
Devineni2013	CAN300	10.0	CAN300_d0	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	baseline
Devineni2013	CAN300	10.0	CAN300_d0	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	10.5	NA	NA	NA	9.2	NA	NA	g	baseline
Devineni2013	CAN300	10.0	CAN300_d0	concentration	glucose	plasma	LC MS/MS	24.0	hr	197.0	NA	NA	NA	35.0	NA	NA	mg/dl	baseline
Devineni2013	CAN300	10.0	CAN300_d1	renal threshold	glucose	urine	LC MS/MS	24.0	hr	104.0	NA	NA	NA	27.0	NA	NA	mg/dl	NA
Devineni2013	CAN300	10.0	CAN300_d1	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2013	CAN300	10.0	CAN300_d1	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	113.1	NA	NA	NA	27.2	NA	NA	g	NA
Devineni2013	CAN300	10.0	CAN300_d1	concentration	glucose	plasma	LC MS/MS	24.0	hr	164.0	NA	NA	NA	21.0	NA	NA	mg/dl	NA
Devineni2013	CAN300	10.0	CAN300_d7	renal threshold	glucose	urine	LC MS/MS	24.0	hr	85.0	NA	NA	NA	20.0	NA	NA	mg/dl	NA
Devineni2013	CAN300	10.0	CAN300_d7	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2013	CAN300	10.0	CAN300_d7	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	111.5	NA	NA	NA	24.3	NA	NA	g	NA
Devineni2013	CAN300	10.0	CAN300_d7	concentration	glucose	plasma	LC MS/MS	24.0	hr	151.0	NA	NA	NA	23.0	NA	NA	mg/dl	NA
