study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2013	CAN0	9.0	CAN0_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN0	-6.0	day	235.0	NA	NA	NA	27.0	NA	NA	mg/dl	placebo, baseline
Devineni2013	CAN0	9.0	CAN0_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN0	-5.0	day	244.0	NA	NA	NA	26.0	NA	NA	mg/dl	placebo
Devineni2013	CAN0	9.0	CAN0_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN0	1.0	day	235.0	NA	NA	NA	32.0	NA	NA	mg/dl	placebo
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN0	-7.0	day	0.0	NA	NA	NA	0.0	NA	NA	g	placebo
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN0	-6.0	day	9.8	NA	NA	NA	6.6	NA	NA	g	placebo, baseline
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN0	-5.0	day	12.4	NA	NA	NA	8.6	NA	NA	g	placebo
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN0	1.0	day	16.2	NA	NA	NA	41.0	NA	NA	g	placebo
Devineni2013	CAN50	9.0	CAN50_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN50	-6.0	day	244.0	NA	NA	NA	35.0	NA	NA	mg/dl	baseline
Devineni2013	CAN50	9.0	CAN50_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN50	-5.0	day	143.0	NA	NA	NA	30.0	NA	NA	mg/dl	NA
Devineni2013	CAN50	9.0	CAN50_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN50	1.0	day	119.0	NA	NA	NA	33.0	NA	NA	mg/dl	NA
Devineni2013	CAN50	9.0	CAN50_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN50	-7.0	day	0.0	NA	NA	NA	0.0	NA	NA	g	baseline
Devineni2013	CAN50	9.0	CAN50_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN50	-6.0	day	14.5	NA	NA	NA	19.1	NA	NA	g	baseline
Devineni2013	CAN50	9.0	CAN50_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN50	-5.0	day	80.8	NA	NA	NA	26.8	NA	NA	g	NA
Devineni2013	CAN50	9.0	CAN50_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN50	1.0	day	99.3	NA	NA	NA	17.5	NA	NA	g	NA
Devineni2013	CAN100	8.0	CAN100_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN100	-6.0	day	212.0	NA	NA	NA	22.0	NA	NA	mg/dl	baseline
Devineni2013	CAN100	8.0	CAN100_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN100	-5.0	day	97.5	NA	NA	NA	21.0	NA	NA	mg/dl	NA
Devineni2013	CAN100	8.0	CAN100_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN100	1.0	day	76.8	NA	NA	NA	16.0	NA	NA	mg/dl	NA
Devineni2013	CAN100	8.0	CAN100_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN100	-7.0	day	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2013	CAN100	8.0	CAN100_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN100	-6.0	day	15.6	NA	NA	NA	12.4	NA	NA	g	baseline
Devineni2013	CAN100	8.0	CAN100_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN100	-5.0	day	117.3	NA	NA	NA	18.8	NA	NA	g	NA
Devineni2013	CAN100	8.0	CAN100_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN100	1.0	day	119.1	NA	NA	NA	30.7	NA	NA	g	NA
Devineni2013	CAN300	10.0	CAN300_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN300	-6.0	day	237.0	NA	NA	NA	33.0	NA	NA	mg/dl	baseline
Devineni2013	CAN300	10.0	CAN300_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN300	-5.0	day	104.0	NA	NA	NA	27.0	NA	NA	mg/dl	NA
Devineni2013	CAN300	10.0	CAN300_d7	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN300	1.0	day	85.0	NA	NA	NA	20.0	NA	NA	mg/dl	NA
Devineni2013	CAN300	10.0	CAN300_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN300	-7.0	day	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2013	CAN300	10.0	CAN300_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN300	-6.0	day	10.5	NA	NA	NA	9.2	NA	NA	g	baseline
Devineni2013	CAN300	10.0	CAN300_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN300	-5.0	day	113.1	NA	NA	NA	27.2	NA	NA	g	NA
Devineni2013	CAN300	10.0	CAN300_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN300	1.0	day	111.5	NA	NA	NA	24.3	NA	NA	g	NA
