study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Devineni2013	CAN0_d0	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	0.0	mg	placebo, baseline
Devineni2013	CAN50_d0	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	0.0	mg	baseline
Devineni2013	CAN100_d0	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	0.0	mg	baseline
Devineni2013	CAN300_d0	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	0.0	mg	baseline
Devineni2013	CAN0_d1	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	0.0	mg	placebo
Devineni2013	CAN50_d1	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	50.0	mg	NA
Devineni2013	CAN100_d1	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	100.0	mg	NA
Devineni2013	CAN300_d1	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	300.0	mg	NA
Devineni2013	CAN0_d7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	canagliflozin	0.0	mg	placebo
Devineni2013	CAN50_d7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	canagliflozin	50.0	mg	NA
Devineni2013	CAN100_d7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	canagliflozin	100.0	mg	NA
Devineni2013	CAN300_d7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	canagliflozin	300.0	mg	NA
