study	parameter	dose	dose_unit	substance	n	mean	sd	median	Q1	Q3	min	max	unit	day	diabetes	hba1c	fpg
Chen2015	cmax	100	mg	canagliflozin	14	1178	291						ng/ml				
Chen2015	tmax	100	mg	canagliflozin	14			1			1	3	hr				
Chen2015	aucinf	100	mg	canagliflozin	14	10521	1707						ng/ml*hr				
Chen2015	thalf	100	mg	canagliflozin	14	16	4.13						hr				
Chen2015	Ae	100	mg	canagliflozin	14	0.496	0.21						percent				
Chen2015	oral-clearance	100	mg	canagliflozin	14	9.78	1.84						l/hr				
Chen2015	clearance_renal	100	mg	canagliflozin	14	0.0514	0.02						l/hr				
#																	
Chen2015	cmax	300	mg	canagliflozin	14	4113	665						ng/ml				
Chen2015	tmax	300	mg	canagliflozin	14			1.25			1	1.5	hr				
Chen2015	aucinf	300	mg	canagliflozin	14	33583	6100						ng/ml*hr				
Chen2015	thalf	300	mg	canagliflozin	14	16.2	4.79						hr				
Chen2015	recovery	300	mg	canagliflozin	14	0.481	0.12						percent				
Chen2015	oral-clearance	300	mg	canagliflozin	14	9.26	1.99						l/hr				
Chen2015	clearance_renal	300	mg	canagliflozin	14	0.0472	0.01						l/hr				
#																	
Chen2015	cmax	100	mg	M7	14	745	265						ng/ml				
Chen2015	tmax	100	mg	M7	14			2			1.5	6	hr				
Chen2015	aucinf	100	mg	M7	14	9050	2502						ng/ml*hr				
Chen2015	thalf	100	mg	M7	14	15.1	3.62						hr				
Chen2015	recovery	100	mg	M7	14	17.5	5.23						percent				
Chen2015	oral-clearance	100	mg	M7	14								l/hr				
Chen2015	clearance_renal	100	mg	M7	14								l/hr				
#																	
Chen2015	cmax	300	mg	M7	14	2155	671						ng/ml				
Chen2015	tmax	300	mg	M7	14			2			1.5	3	hr				
Chen2015	aucinf	300	mg	M7	14	26302	6381						ng/ml*hr				
Chen2015	thalf	300	mg	M7	14	15.5	4.25						hr				
Chen2015	recovery	300	mg	M7	14	17	3.39						percent				
Chen2015	oral-clearance	300	mg	M7	14								l/hr				
Chen2015	clearance_renal	300	mg	M7	14								l/hr				
#																	
Chen2015	cmax	100	mg	M5	14	517	148						ng/ml				
Chen2015	tmax	100	mg	M5	14			3.5			2	4	hr				
Chen2015	aucinf	100	mg	M5	14	8006	2502						ng/ml*hr				
Chen2015	thalf	100	mg	M5	14	14.2	3.21						hr				
Chen2015	recovery	100	mg	M5	14	8.78	2.94						percent				
Chen2015	oral-clearance	100	mg	M5	14								l/hr				
Chen2015	clearance_renal	100	mg	M5	14								l/hr				
#																	
Chen2015	cmax	300	mg	M5	14	1553	474						ng/ml				
Chen2015	tmax	300	mg	M5	14			3			1.5	4	hr				
Chen2015	aucinf	300	mg	M5	14	25269	8859						ng/ml*hr				
Chen2015	thalf	300	mg	M5	14	15.2	4.38						hr				
Chen2015	recovery	300	mg	M5	14	8.83	2.47						percent				
Chen2015	oral-clearance	300	mg	M5	14								l/hr				
Chen2015	clearance_renal	300	mg	M5	14								l/hr				
#																	
Devineni2012	auc_end	100	mg	canagliflozin	10	5957	1580						ng/ml*hr				
Devineni2012	cmax	100	mg	canagliflozin	10	773	213						ng/ml				
Devineni2012	thalf	100	mg	canagliflozin	10	14.7	4.1						hr				
Devineni2012	tmax	100	mg	canagliflozin	10			4			1.5	6	hr				
#																	
Devineni2012	auc_end	300	mg	canagliflozin	10	42308	6461						ng/ml*hr				
Devineni2012	cmax	300	mg	canagliflozin	10	3556	945						ng/ml				
