study	class	condition	parameter	dose	dose_unit	substance	n	mean	sd	median	Q1	Q3	min	max	unit	day	diabetes	hba1c	fpg
Devineni2015c	renal	normal	cmax	200	mg	canagliflozin	8	1475	669						ng/ml		N		
Devineni2015c	renal	normal	aucinf	200	mg	canagliflozin	8	14345	3605						ng/ml*hr		N		
Devineni2015c	renal	normal	tmax	200	mg	canagliflozin	8			1.75			0.5	5	hr		N		
Devineni2015c	renal	normal	thalf	200	mg	canagliflozin	8	17.4	5.4						hr		N		
Devineni2015c	renal	normal	oral-clearance	200	mg	canagliflozin	8	14.8	3.93						l/hr		N		
Devineni2015c	renal	normal	recovery_24hr_plasma	200	mg	canagliflozin	8	0.6	0.26						percent		N		
Devineni2015c	renal	normal	clearance_renal	200	mg	canagliflozin	8	0.09	68						l/hr		N		
Devineni2015c	renal	normal	protein binding	200	mg	canagliflozin	8	99.2	0.1						percent		N		
#																			
Devineni2015c	renal	mild	cmax	200	mg	canagliflozin	8	1574	482						ng/ml		N		
Devineni2015c	renal	mild	aucinf	200	mg	canagliflozin	8	16719	3721						ng/ml*hr		N		
Devineni2015c	renal	mild	tmax	200	mg	canagliflozin	8			3.5			1.5	5	hr		N		
Devineni2015c	renal	mild	thalf	200	mg	canagliflozin	8	22.7	10.3						hr		N		
Devineni2015c	renal	mild	oral-clearance	200	mg	canagliflozin	8	12.5	2.65						l/hr		N		
Devineni2015c	renal	mild	recovery_24hr_plasma	200	mg	canagliflozin	8	0.3	0.09						percent		N		
Devineni2015c	renal	mild	clearance_renal	200	mg	canagliflozin	8	0.04	14						l/hr		N		
Devineni2015c	renal	mild	protein binding	200	mg	canagliflozin	8	99.1	0.21						percent		N		
#																			
Devineni2015c	renal	moderate	cmax	200	mg	canagliflozin	8	1773	439						ng/ml		N		
Devineni2015c	renal	moderate	aucinf	200	mg	canagliflozin	8	23311	5475						ng/ml*hr		N		
Devineni2015c	renal	moderate	tmax	200	mg	canagliflozin	8			1.75			1	5	hr		N		
Devineni2015c	renal	moderate	thalf	200	mg	canagliflozin	8	21.7	10.9						hr		N		
Devineni2015c	renal	moderate	oral-clearance	200	mg	canagliflozin	8	9	2.23						l/hr		N		
Devineni2015c	renal	moderate	recovery_24hr_plasma	200	mg	canagliflozin	8	0.3	0.15						percent		N		
Devineni2015c	renal	moderate	clearance_renal	200	mg	canagliflozin	8	0.03	21						l/hr		N		
Devineni2015c	renal	moderate	protein binding	200	mg	canagliflozin	8	99.1	0.13						percent		N		
#																			
Devineni2015c	renal	severe	cmax	200	mg	canagliflozin	8	1834	732						ng/ml		N		
Devineni2015c	renal	severe	aucinf	200	mg	canagliflozin	8	21596	5485						ng/ml*hr		N		
Devineni2015c	renal	severe	tmax	200	mg	canagliflozin	8			1.5			1	5	hr		N		
Devineni2015c	renal	severe	thalf	200	mg	canagliflozin	8	21.6	9.2						hr		N		
Devineni2015c	renal	severe	oral-clearance	200	mg	canagliflozin	8	9.8	2.53						l/hr		N		
Devineni2015c	renal	severe	recovery_24hr_plasma	200	mg	canagliflozin	8	0.1	0.04						percent		N		
Devineni2015c	renal	severe	clearance_renal	200	mg	canagliflozin	8	0.01	7						l/hr		N		
Devineni2015c	renal	severe	protein binding	200	mg	canagliflozin	8	99	0.09						percent		N		
#																			
Devineni2015c	renal	ESRD_pre	cmax	200	mg	canagliflozin	8	1433	509						ng/ml		N		
Devineni2015c	renal	ESRD_pre	aucinf	200	mg	canagliflozin	8	14205	3648						ng/ml*hr		N		
Devineni2015c	renal	ESRD_pre	tmax	200	mg	canagliflozin	8			2.25			1	6	hr		N		
Devineni2015c	renal	ESRD_pre	thalf	200	mg	canagliflozin	8	21.4	12						hr		N		
Devineni2015c	renal	ESRD_pre	oral-clearance	200	mg	canagliflozin	8	15	4.05						l/hr		N		
Devineni2015c	renal	ESRD_pre	recovery_24hr_plasma	200	mg	canagliflozin	8								percent		N		
Devineni2015c	renal	ESRD_pre	clearance_renal	200	mg	canagliflozin	8								l/hr		N		
Devineni2015c	renal	ESRD_pre	protein binding	200	mg	canagliflozin	8	99.1	0.11						percent		N		
#																			
Devineni2015c	renal	ESRD_post	cmax	200	mg	canagliflozin	8	1287	277						ng/ml		N		
Devineni2015c	renal	ESRD_post	aucinf	200	mg	canagliflozin	8	13587	3216						ng/ml*hr		N		
Devineni2015c	renal	ESRD_post	tmax	200	mg	canagliflozin	8			2			1.5	5	hr		N		
Devineni2015c	renal	ESRD_post	thalf	200	mg	canagliflozin	8	17.2	4.9						hr		N		
Devineni2015c	renal	ESRD_post	oral-clearance	200	mg	canagliflozin	8	15.4	3.22						l/hr		N		
Devineni2015c	renal	ESRD_post	recovery_24hr_plasma	200	mg	canagliflozin	8								percent		N		
Devineni2015c	renal	ESRD_post	clearance_renal	200	mg	canagliflozin	8								l/hr		N		
