study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Sha2011		CAN30	6.0	CAN30	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN30	0.0	hr		0.0					g	g
Sha2011		CAN30	6.0	CAN30	cumulative amount	glucose	urine	LC MS/MS	cumulative_amount_CAN30	24.0	hr		17.5	20.3	2.8	6.8585712797929		g	g
