study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015	study 2	18.0	MET2000	cmax	metformin	plasma	LC MS/MS	NA	NA	1700.0	NA	NA	NA	495.0	NA	NA	ng/ml 	NA
Devineni2015	study 2	18.0	MET2000	auc_inf	metformin	plasma	LC MS/MS	NA	NA	11723.0	NA	NA	NA	3493.0	NA	NA	ng/ml*hr	NA
Devineni2015	study 2	18.0	MET2000	tmax	metformin	plasma	LC MS/MS	NA	NA	NA	1.75	0.5	4.0	NA	NA	NA	hr	NA
Devineni2015	study 2	18.0	MET2000	thalf	metformin	plasma	LC MS/MS	NA	NA	9.6	NA	NA	NA	7.8	NA	NA	hr	NA
Devineni2015	study 2	18.0	MET2000	vd	metformin	plasma	LC MS/MS	NA	NA	2423.0	NA	NA	NA	1889.0	NA	NA	l	NA
Devineni2015	study 2	18.0	MET2000	clearance	metformin	plasma	LC MS/MS	NA	NA	184.0	NA	NA	NA	50.9	NA	NA	l/hr	NA
Devineni2015	study 2	18.0	MET2000	clearance_renal	metformin	plasma	LC MS/MS	NA	NA	32.3	NA	NA	NA	6.73	NA	NA	l/hr	NA
Devineni2015	study 2	18.0	MET2000	recovery	metformin	urine	LC MS/MS	72.0	hr	18.0	NA	NA	NA	5.09	NA	NA	percent	NA
Devineni2015	study 2	18.0	MET2000	cumulative amount	metformin	urine	LC MS/MS	72.0	hr	360.0	NA	NA	NA	101.8	NA	NA	g	NA
Devineni2015	study 2	18.0	MET2000, CAN300	cmax	metformin	plasma	LC MS/MS	NA	NA	1719.0	NA	NA	NA	473.0	NA	NA	ng/ml 	NA
Devineni2015	study 2	18.0	MET2000, CAN300	auc_inf	metformin	plasma	LC MS/MS	NA	NA	13835.0	NA	NA	NA	4068.0	NA	NA	ng/ml*hr	NA
Devineni2015	study 2	18.0	MET2000, CAN300	tmax	metformin	plasma	LC MS/MS	NA	NA	NA	3.0	0.5	4.07	NA	NA	NA	hr	NA
Devineni2015	study 2	18.0	MET2000, CAN300	thalf	metformin	plasma	LC MS/MS	NA	NA	10.7	NA	NA	NA	8.0	NA	NA	hr	NA
Devineni2015	study 2	18.0	MET2000, CAN300	vd	metformin	plasma	LC MS/MS	NA	NA	2445.0	NA	NA	NA	2233.0	NA	NA	l	NA
Devineni2015	study 2	18.0	MET2000, CAN300	clearance	metformin	plasma	LC MS/MS	NA	NA	154.0	NA	NA	NA	35.3	NA	NA	l/hr	NA
Devineni2015	study 2	18.0	MET2000, CAN300	clearance_renal	metformin	plasma	LC MS/MS	NA	NA	30.0	NA	NA	NA	5.76	NA	NA	l/hr	NA
Devineni2015	study 2	18.0	MET2000, CAN300	recovery	metformin	urine	LC MS/MS	72.0	hr	19.8	NA	NA	NA	4.37	NA	NA	percent	NA
Devineni2015	study 2	18.0	MET2000, CAN300	cumulative amount	metformin	urine	LC MS/MS	72.0	hr	396.0	NA	NA	NA	87.4	NA	NA	g	NA
