study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015	study 3	22.0	SIM40	cmax	simvastatin	plasma	LC MS/MS	NA	NA	10.6	NA	NA	NA	5.95	NA	NA	ng/ml	NA
Devineni2015	study 3	22.0	SIM40	auc_inf	simvastatin	plasma	LC MS/MS	NA	NA	45.9	NA	NA	NA	27.6	NA	NA	ng/ml*hr	NA
Devineni2015	study 3	22.0	SIM40	tmax	simvastatin	plasma	LC MS/MS	NA	NA	NA	1.5	0.5	5.0	NA	NA	NA	hr	NA
Devineni2015	study 3	22.0	SIM40	thalf	simvastatin	plasma	LC MS/MS	NA	NA	5.9	NA	NA	NA	1.7	NA	NA	hr	NA
Devineni2015	study 3	22.0	SIM40, CAN300	cmax	simvastatin	plasma	LC MS/MS	NA	NA	10.7	NA	NA	NA	4.3	NA	NA	ng/ml	NA
Devineni2015	study 3	22.0	SIM40, CAN300	auc_inf	simvastatin	plasma	LC MS/MS	NA	NA	47.2	NA	NA	NA	16.4	NA	NA	ng/ml*hr	NA
Devineni2015	study 3	22.0	SIM40, CAN300	tmax	simvastatin	plasma	LC MS/MS	NA	NA	NA	1.5	0.5	4.0	NA	NA	NA	hr	NA
Devineni2015	study 3	22.0	SIM40, CAN300	thalf	simvastatin	plasma	LC MS/MS	NA	NA	7.6	NA	NA	NA	2.7	NA	NA	hr	NA
Devineni2015	study 3	22.0	SIM40	cmax	simvastatin acid	plasma	LC MS/MS	NA	NA	2.13	NA	NA	NA	1.35	NA	NA	ng/ml	NA
Devineni2015	study 3	22.0	SIM40	auc_inf	simvastatin acid	plasma	LC MS/MS	NA	NA	20.6	NA	NA	NA	11.5	NA	NA	ng/ml*hr	NA
Devineni2015	study 3	22.0	SIM40	tmax	simvastatin acid	plasma	LC MS/MS	NA	NA	NA	5.0	2.0	16.0	NA	NA	NA	hr	NA
Devineni2015	study 3	22.0	SIM40	thalf	simvastatin acid	plasma	LC MS/MS	NA	NA	5.8	NA	NA	NA	1.6	NA	NA	hr	NA
Devineni2015	study 3	22.0	SIM40, CAN300	cmax	simvastatin acid	plasma	LC MS/MS	NA	NA	2.6	NA	NA	NA	1.41	NA	NA	ng/ml	NA
Devineni2015	study 3	22.0	SIM40, CAN300	auc_inf	simvastatin acid	plasma	LC MS/MS	NA	NA	23.0	NA	NA	NA	11.6	NA	NA	ng/ml*hr	NA
Devineni2015	study 3	22.0	SIM40, CAN300	tmax	simvastatin acid	plasma	LC MS/MS	NA	NA	NA	5.0	2.0	10.0	NA	NA	NA	hr	NA
Devineni2015	study 3	22.0	SIM40, CAN300	thalf	simvastatin acid	plasma	LC MS/MS	NA	NA	5.6	NA	NA	NA	1.7	NA	NA	hr	NA
Devineni2015	study 3	22.0	SIM40	cmax	active pra inhibitors	plasma	LC MS/MS	NA	NA	63.2	NA	NA	NA	21.9	NA	NA	ng/ml	NA
Devineni2015	study 3	22.0	SIM40	auc_inf	active pra inhibitors	plasma	LC MS/MS	NA	NA	280.0	NA	NA	NA	112.0	NA	NA	ng/ml*hr	NA
Devineni2015	study 3	22.0	SIM40	tmax	active pra inhibitors	plasma	LC MS/MS	NA	NA	NA	1.5	0.5	5.0	NA	NA	NA	hr	NA
Devineni2015	study 3	22.0	SIM40, CAN300	auc_inf	active pra inhibitors	plasma	LC MS/MS	NA	NA	280.0	NA	NA	NA	112.0	NA	NA	ng/ml*hr	NA
Devineni2015	study 3	22.0	SIM40, CAN300	tmax	active pra inhibitors	plasma	LC MS/MS	NA	NA	NA	1.5	0.5	5.0	NA	NA	NA	hr	NA
