study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	0.0	hr	NA	0.00418410041840822	0.104599880604551	0.10041578018614278	0.021408716269093152	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	0.5	hr	NA	3.87848751738991	4.60233688977485	0.7238493723849397	0.15432520472602818	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	1.0	hr	NA	8.63563612264595	10.0205681014282	1.3849319787822498	0.29526848998016875	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	1.5	hr	NA	7.99529255829732	9.01621306038937	1.02092050209205	0.21766098238815454	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	2.0	hr	NA	6.79428216773746	7.80264773871857	1.00836557098111	0.21498426208150676	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	3.0	hr	NA	4.23745230099224	4.91527656877467	0.6778242677824293	0.14451261945443103	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	4.0	hr	NA	3.52162135863605	3.95257844202088	0.43095708338482996	0.09188035889617029	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	5.0	hr	NA	3.39156447485726	4.03591856914811	0.6443540942908497	0.1373767544894797	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	6.0	hr	NA	2.57112576232942	2.99790663486294	0.42678087253352004	0.09098998775101894	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	10.0	hr	NA	1.03835381552614	1.20571783226254	0.1673640167363999	0.03568212826035283	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	12.0	hr	NA	0.895394859684048	1.0836820083682	0.18828714868415197	0.040142954980016535	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	16.0	hr	NA	0.538347240886892	0.676422554694422	0.13807531380753002	0.02943775581479111	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40	24.0	hr	NA	0.276147997759361	0.380747878363912	0.104599880604551	0.022300769475601594	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	0.0	hr	NA	0.0041814705627079	0.0836793785124996	0.0794979079497917	0.016949010923667965	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	0.5	hr	NA	3.80735781027695	4.56049588559075	0.7531380753137995	0.16056957717158774	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	1.0	hr	NA	9.35111466433836	10.4431648735433	1.09205020920494	0.23282588689878744	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	1.5	hr	NA	9.01621043053367	9.93253105202117	0.9163206214875004	0.19536021291255323	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	2.0	hr	NA	7.80264773871857	8.50976333928557	0.7071156005669996	0.15075755258711201	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	3.0	hr	NA	5.25000197239177	5.7186238491094	0.4686218767176298	0.09991051981610923	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	4.0	hr	NA	3.99023534578657	4.41282948804599	0.42259414225941994	0.09009737385739307	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	5.0	hr	NA	3.15307075100789	3.4919855147548	0.33891476374690965	0.07225687041433361	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	6.0	hr	NA	2.37447830237555	2.63389252831697	0.2594142259414203	0.05530729880354698	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	10.0	hr	NA	0.921199003810661	1.0634557881809	0.14225678437023892	0.030329248334180544	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	12.0	hr	NA	0.736401673640168	0.895397489539748	0.15899581589958	0.03389802184733521	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	16.0	hr	NA	0.433749990138041	0.567638573671459	0.13388858353341798	0.0285451419211627	ng/ml	NA
Devineni2015	NA	study 3	22.0	SIM40, CAN300	concentration	simvastatin	plasma	LC MS/MS	simvastatin_SIM40_CAN300	24.0	hr	NA	0.271963897340953	0.380753138075313	0.10878924073436003	0.02319394405634851	ng/ml	NA
