study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015c	normal_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2015c	normal_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	50.7	NA	NA	NA	3.55	NA	NA	g	NA
Devineni2015c	normal_renal	8.0	CAN200	renal threshold	glucose	urine	LC MS/MS	24.0	hr	77.5	NA	NA	NA	7.5	NA	NA	mg/dl	NA
Devineni2015c	mild_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2015c	mild_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	26.1	NA	NA	NA	3.55	NA	NA	g	NA
Devineni2015c	mild_renal	8.0	CAN200	renal threshold	glucose	urine	LC MS/MS	24.0	hr	67.7	NA	NA	NA	6.6	NA	NA	mg/dl	NA
Devineni2015c	moderate_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2015c	moderate_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	10.9	NA	NA	NA	3.55	NA	NA	g	NA
Devineni2015c	moderate_renal	8.0	CAN200	renal threshold	glucose	urine	LC MS/MS	24.0	hr	97.3	NA	NA	NA	24.0	NA	NA	mg/dl	NA
Devineni2015c	severe_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Devineni2015c	severe_renal	8.0	CAN200	cumulative amount	glucose	urine	LC MS/MS	24.0	hr	4.7	NA	NA	NA	3.55	NA	NA	g	NA
Devineni2015c	severe_renal	8.0	CAN200	renal threshold	glucose	urine	LC MS/MS	24.0	hr	92.7	NA	NA	NA	9.5	NA	NA	mg/dl	NA
