study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2015c	normal_hepatic	8.0	CAN300	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2844.0	NA	NA	NA	794.0	NA	NA	ng/ml	NA
Devineni2015c	normal_hepatic	8.0	CAN300	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	24632.0	NA	NA	NA	7132.0	NA	NA	ng/ml*hr	NA
Devineni2015c	normal_hepatic	8.0	CAN300	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.75	1.0	5.0	NA	NA	NA	hr	NA
Devineni2015c	normal_hepatic	8.0	CAN300	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	14.8	NA	NA	NA	2.72	NA	NA	hr	NA
Devineni2015c	normal_hepatic	8.0	CAN300	 oral-clearance	canagliflozin	plasma	LC MS/MS	NA	NA	13.1	NA	NA	NA	3.7	NA	NA	l/hr	NA
Devineni2015c	normal_hepatic	8.0	CAN300	recovery	canagliflozin	plasma	LC MS/MS	24.0	hr	0.5	NA	NA	NA	0.12	NA	NA	percent	NA
Devineni2015c	normal_hepatic	8.0	CAN300	clearance_renal	canagliflozin	plasma	LC MS/MS	NA	NA	0.06	NA	NA	NA	0.015	NA	NA	l/hr	NA
Devineni2015c	mild_hepatic	8.0	CAN300	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	3038.0	NA	NA	NA	670.0	NA	NA	ng/ml	NA
Devineni2015c	mild_hepatic	8.0	CAN300	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	27162.0	NA	NA	NA	8609.0	NA	NA	ng/ml*hr	NA
Devineni2015c	mild_hepatic	8.0	CAN300	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	2.0	1.0	5.0	NA	NA	NA	hr	NA
Devineni2015c	mild_hepatic	8.0	CAN300	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	17.6	NA	NA	NA	4.17	NA	NA	hr	NA
Devineni2015c	mild_hepatic	8.0	CAN300	 oral-clearance	canagliflozin	plasma	LC MS/MS	NA	NA	12.0	NA	NA	NA	3.62	NA	NA	l/hr	NA
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	canagliflozin	plasma	LC MS/MS	24.0	hr	0.5	NA	NA	NA	0.13	NA	NA	percent	NA
Devineni2015c	mild_hepatic	8.0	CAN300	clearance_renal	canagliflozin	plasma	LC MS/MS	NA	NA	0.07	NA	NA	NA	0.015	NA	NA	l/hr	NA
Devineni2015c	moderate_hepatic	8.0	CAN300	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2810.0	NA	NA	NA	1037.0	NA	NA	ng/ml	NA
Devineni2015c	moderate_hepatic	8.0	CAN300	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	26866.0	NA	NA	NA	5788.0	NA	NA	ng/ml*hr	NA
