study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit
Devineni2015c	normal_hepatic	8.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recoveryCAN300_normal_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent
Devineni2015c	normal_hepatic	8.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recoveryCAN300_normal_hepatic	24.0	hr	0.5	NA	NA	NA	0.12	NA	NA	percent
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300_mild_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300_mild_hepatic	24.0	hr	0.5	NA	NA	NA	0.13	NA	NA	percent
Devineni2015c	moderate_hepatic	8.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300_moderate_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent
Devineni2015c	moderate_hepatic	8.0	CAN300	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_CAN300_moderate_hepatic	24.0	hr	1.5	NA	NA	NA	0.33	NA	NA	percent
Devineni2015c	normal_hepatic	8.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300_normal_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent
Devineni2015c	normal_hepatic	8.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300_normal_hepatic	24.0	hr	17.2	NA	NA	NA	4.01	NA	NA	percent
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300_mild_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300_mild_hepatic	24.0	hr	22.9	NA	NA	NA	4.27	NA	NA	percent
Devineni2015c	moderate_hepatic	8.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300_moderate_heaptic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent
Devineni2015c	moderate_hepatic	8.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300_moderate_heaptic	24.0	hr	34.5	NA	NA	NA	15.5	NA	NA	percent
Devineni2015c	normal_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_normal_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent
Devineni2015c	normal_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_normal_hepatic	24.0	hr	8.2	NA	NA	NA	2.13	NA	NA	percent
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_mild_heaptic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_mild_heaptic	24.0	hr	9.4	NA	NA	NA	2.8	NA	NA	percent
Devineni2015c	moderate_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_moderate_heaptic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	percent
Devineni2015c	moderate_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_moderate_heaptic	24.0	hr	10.0	NA	NA	NA	2.65	NA	NA	percent
Devineni2015c	normal_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_normal_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg
Devineni2015c	normal_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_normal_hepatic	24.0	hr	1.5	NA	NA	NA	0.36	NA	NA	mg
Devineni2015c	mild_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_mild_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg
Devineni2015c	mild_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_mild_hepatic	24.0	hr	1.5	NA	NA	NA	0.39	NA	NA	mg
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_moderate_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_moderate_hepatic	24.0	hr	4.5	NA	NA	NA	0.99	NA	NA	mg
Devineni2015c	normal_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_normal_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg
Devineni2015c	normal_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_normal_hepatic	24.0	hr	51.6	NA	NA	NA	12.03	NA	NA	mg
Devineni2015c	mild_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_mild_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg
Devineni2015c	mild_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_mild_hepatic	24.0	hr	68.7	NA	NA	NA	12.81	NA	NA	mg
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_moderate_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_moderate_hepatic	24.0	hr	103.5	NA	NA	NA	46.5	NA	NA	mg
Devineni2015c	normal_hepatic	8.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN300_normal_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg
Devineni2015c	normal_hepatic	8.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN300_normal_hepatic	24.0	hr	24.6	NA	NA	NA	6.39	NA	NA	mg
Devineni2015c	mild_hepatic	8.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN300_mild_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg
Devineni2015c	mild_hepatic	8.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN300_mild_hepatic	24.0	hr	28.2	NA	NA	NA	8.4	NA	NA	mg
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN300_moderate_hepatic	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	M5	urine	LC MS/MS	M5_cumulative_amount_CAN300_moderate_hepatic	24.0	hr	30.0	NA	NA	NA	7.95	NA	NA	mg
