study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Devineni2016	all	15.0	CAN200	concentration	glucose	plasma	LC MS/MS	glucose_CAN200	0.0	hr	90.0	NA	NA	NA	8.51	NA	NA	mg/dl	NA
Devineni2016	all	15.0	CAN200	concentration	glucose	plasma	LC MS/MS	glucose_CAN200	28.0	hr	89.8	NA	NA	NA	4.83	NA	NA	mg/dl	NA
Devineni2016	all	15.0	CAN200	renal threshold	glucose	plasma	LC MS/MS	glucose_renal_threshold_CAN200	4.0	hr	60.8	NA	NA	NA	8.9	NA	NA	mg/dl	NA
Devineni2016	all	14.0	CAN300	concentration	glucose	plasma	LC MS/MS	glucose_CAN300	0.0	hr	89.5	NA	NA	NA	5.78	NA	NA	mg/dl	NA
Devineni2016	all	14.0	CAN300	concentration	glucose	plasma	LC MS/MS	glucose_CAN300	28.0	hr	89.7	NA	NA	NA	5.35	NA	NA	mg/dl	NA
Devineni2016	all	14.0	CAN300	renal threshold	glucose	plasma	LC MS/MS	glucose_renal_threshold_CAN300	4.0	hr	61.2	NA	NA	NA	7.04	NA	NA	mg/dl	NA
