study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Devineni2016	all	15	NA	species	15	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	healthy	15	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	sex	10	NA	M 	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	sex	5	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	age	15	NA	NA	29.5	28.0	6.79	NA	22.0	43.0	yr	NA
Devineni2016	all	15	NA	bmi	15	NA	NA	22.6	22.7	1.73	NA	21.0	27.0	kg/m^2	NA
Devineni2016	all	15	NA	weight	15	NA	NA	59.7	58.3	6.36	NA	52.0	75.0	kg	NA
Devineni2016	all	15	NA	pregnant	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	breastfeeding	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	alcohol	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	smoking	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	medication	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	gfr	15	NA	NA	111.0	109.0	11.0	NA	92.0	130.0	ml/min/(1.73*m^2)	NA
Devineni2016	all	15	NA	height	15	NA	NA	162.6	164.5	9.12	NA	145.0	173.0	cm	NA
Devineni2016	all	15	NA	overnight fast	15	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2016	all	15	NA	ethnicity	15	NA	indian	NA	NA	NA	NA	NA	NA	NA	NA
