Study	PubMed ID	Model Type	Platform/Software	Open Software	Open Model	Open Code	Open Data	Open License	Reproducibility	FAIR	Longterm Storage	Resources	Studies	Clinical Data Used	Scope
DeWinter2017	28138980	Population PK/PD	NONMEM, R	No	No	No	No	No	No	No	No	-	3	Phase II and III trials (not public)	Population PK/PD model linking canagliflozin exposure to HbA1c response to compare once daily vs twice daily dosing
Dunne2015	26142076	Methodological PK/PD example	NONMEM, FORTRAN	No	No	No	No	No	No	No	No	-	1	Trial subset	Demonstration of the method of averaging for indirect PK/PD models using canagliflozin as an example
Elenjickal2025	40952584	Population PK	NONMEM, R	No	No	No	No	No	No	No	No	-	2	Clinical study (data not shared)	Population PK model of canagliflozin in advanced CKD and hemodialysis patients to assess covariate effects on exposure
Guo2025	40230691	PBPK/PD	PK-Sim, MoBi	Yes	No	No	No	No	No	No	No	-	Multiple	Published literature (digitized, not shared)	PBPK/PD model of SGLT2 inhibitors to assess UGE and dose optimization in renal impairment
Hoeben2016	26293616	Population PK	NONMEM	No	No	No	No	No	No	No	No	-	14	Clinical trials (not public)	Population PK model of canagliflozin to characterize dose- and covariate-dependent exposure
Mamidi2017	27862160	PBPK (DDI-focused)	Simcyp	No	No	No	No	No	No	No	No	-	Not explicitly enumerated as reusable datasets	Internal clinical studies + published literature	In vitro DDI assessment and PBPK-based DDI simulations for canagliflozin
Mori-Anai2020	33085977	PBPK + QSP (HSGD model)	Simcyp (PBPK), MATLAB (QSP)	No	No	No	No	No	No	No	No	-	Multiple	Published literature (digitized, not shared)	Mechanistic PBPK-QSP model of SGLT2 inhibitors to quantify intestinal SGLT1 contribution to postprandial glucose control
Mori2016	27604638	PBPK/PD	Simcyp, simBio	No	No	No	No	No	No	No	No	-	Multiple	Published literature (digitized, not shared)	Prediction of intestinal and renal target-site concentrations of canagliflozin and dapagliflozin and resulting SGLT1/2 inhibition using PBPK/PD modeling
Yao2023	36890732	PK/PD/end-point model	NONMEM, PsN, R	No	No	No	No	No	No	No	No	-	80	Published literature (digitized, not shared)	Model-based meta-analysis linking PK, UGE-derived biomarker, FPG, and HbA1c across SGLT2 inhibitors; comparative and translational, not mechanistic PBPK
Tereshchuk2026	-	PBPK/PD	SBML, Python	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	GitHub:  https://github.com/matthiaskoenig/canagliflozin-model  Zenodo: https://zenodo.org/records/15296961 	22	22 clinical studies; digitized literature data	Whole-body mechanistic PBPK/PD model of canagliflozin linking ADME to SGLT2-mediated urinary glucose excretion and renal threshold for glucose, capturing dose dependency, renal and hepatic impairment, implemented in SBML with full FAIR compliance
