study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2013	CAN50	9.0	CAN50_d1	recovery	M7	urine	LC MS/MS	M7_CAN50_d1_recovery	0.0	hr	0.0				0.0				count*mole/kilogram	percent
Devineni2013	CAN50	9.0	CAN50_d1	recovery	M7	urine	LC MS/MS	M7_CAN50_d1_recovery	24.0	hr	0.34224943602964863				0.07073799548823718				count*mole/kilogram	percent
