study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2013	CAN50	9.0	CAN50_d7	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN50_d7	0.0	hr	0.0				0.0				mole	mg
Devineni2013	CAN50	9.0	CAN50_d7	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN50_d7	24.0	hr	9.335954899464138e-07				3.2619601455959035e-07				mole	mg
