study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN0	-7.0	day	0.0				0.0			placebo	g	g
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN0	-6.0	day	9.8				6.6			placebo, baseline	g	g
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN0	-5.0	day	12.4				8.6			placebo	g	g
Devineni2013	CAN0	9.0	CAN0_d7	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN0	1.0	day	16.2				41.0			placebo	g	g
