study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2015a	CAN300	9.0	CAN300_d1	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_d1	0.0	hr	0.0				0.0				mole	mg
Devineni2015a	CAN300	9.0	CAN300_d1	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_d1	48.0	hr	7.879471479213663e-05				1.517885916854657e-05				mole	mg
