study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2015a	CAN50	9.0	CAN50_d1	recovery	M7	urine	LC MS/MS	M7_CAN50_d1_recovery	0.0	hr	0.0				0.0				count*mole/kilogram	percent
Devineni2015a	CAN50	9.0	CAN50_d1	recovery	M7	urine	LC MS/MS	M7_CAN50_d1_recovery	48.0	hr	0.25620367386400256				0.05639703512729617				count*mole/kilogram	percent
