study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2015a	CAN300	9.0	CAN300_d9	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN300	-7.0	day	2.5199822380106567				0.8492451154529307				mole/meter^3	mg/dl
Devineni2015a	CAN300	9.0	CAN300_d9	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN300	1.0	day	2.6087921847246887				0.9602575488454707				mole/meter^3	mg/dl
Devineni2015a	CAN300	9.0	CAN300_d9	renal threshold	glucose	urine	LC MS/MS	glucose_renal_threshold_CAN300	2.0	day	3.3914298401420955				1.022424511545293			Only 6 subjects	mole/meter^3	mg/dl
