study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Devineni2015a	CAN300	9.0	CAN300_d9	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN300	-7.0	day	62.0				10.9				g	g
Devineni2015a	CAN300	9.0	CAN300_d9	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN300	1.0	day	60.9				18.7				g	g
Devineni2015a	CAN300	9.0	CAN300_d9	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative_amount_CAN300	2.0	day	104.6				20.17				g	g
