study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Iijima2015	CAN25	12.0	CAN25_d1	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	248.0	NA	NA	NA	55.0	NA	NA	ng/ml	NA
Iijima2015	CAN25	12.0	CAN25_d1	auc_end	canagliflozin	plasma	LC MS/MS	24.0	hr	1295.0	NA	NA	NA	240.0	NA	NA	ng/ml*hr	NA
Iijima2015	CAN25	12.0	CAN25_d1	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.0	1.0	2.0	NA	NA	NA	hr	NA
Iijima2015	CAN25	12.0	CAN25_d1	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	10.7	NA	NA	NA	1.76	NA	NA	hr	NA
Iijima2015	CAN25	12.0	CAN25_d1	recovery	canagliflozin	plasma	LC MS/MS	24.0	hr	0.387	NA	NA	NA	0.07	NA	NA	percent	NA
Iijima2015	CAN25	12.0	CAN25_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Iijima2015	CAN25	12.0	CAN25_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	24.0	hr	0.09675	NA	NA	NA	0.0175	NA	NA	g	NA
Iijima2015	CAN100	12.0	CAN100_d1	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1126.0	NA	NA	NA	228.0	NA	NA	ng/ml	NA
Iijima2015	CAN100	12.0	CAN100_d1	auc_end	canagliflozin	plasma	LC MS/MS	24.0	hr	5468.0	NA	NA	NA	899.0	NA	NA	ng/ml*hr	NA
Iijima2015	CAN100	12.0	CAN100_d1	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.0	1.0	1.5	NA	NA	NA	hr	NA
Iijima2015	CAN100	12.0	CAN100_d1	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	10.22	NA	NA	NA	1.89	NA	NA	hr	NA
Iijima2015	CAN100	12.0	CAN100_d1	recovery	canagliflozin	plasma	LC MS/MS	24.0	hr	0.384	NA	NA	NA	0.084	NA	NA	percent	NA
Iijima2015	CAN100	12.0	CAN100_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Iijima2015	CAN100	12.0	CAN100_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	24.0	hr	0.384	NA	NA	NA	0.084	NA	NA	g	NA
Iijima2015	CAN200	14.0	CAN200_d1	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2304.0	NA	NA	NA	539.0	NA	NA	ng/ml	NA
Iijima2015	CAN200	14.0	CAN200_d1	auc_end	canagliflozin	plasma	LC MS/MS	24.0	hr	11991.0	NA	NA	NA	3042.0	NA	NA	ng/ml*hr	NA
Iijima2015	CAN200	14.0	CAN200_d1	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.0	1.0	1.5	NA	NA	NA	hr	NA
Iijima2015	CAN200	14.0	CAN200_d1	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	13.26	NA	NA	NA	4.96	NA	NA	hr	NA
Iijima2015	CAN200	14.0	CAN200_d1	recovery	canagliflozin	plasma	LC MS/MS	24.0	hr	0.424	NA	NA	NA	0.107	NA	NA	percent	NA
