study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Iijima2015	CAN0_d1	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	0.0	mg	NA
Iijima2015	CAN25_d1	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	25.0	mg	NA
Iijima2015	CAN100_d1	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	100.0	mg	NA
Iijima2015	CAN200_d1	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	200.0	mg	NA
Iijima2015	CAN400_d1	0	NA	hr	oral	single dose	dosing	tablet	canagliflozin	400.0	mg	NA
Iijima2015	CAN0_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	tablet	canagliflozin	0.0	mg	NA
Iijima2015	CAN25_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	tablet	canagliflozin	25.0	mg	NA
Iijima2015	CAN100_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	tablet	canagliflozin	100.0	mg	NA
Iijima2015	CAN200_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	tablet	canagliflozin	200.0	mg	NA
Iijima2015	CAN400_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	tablet	canagliflozin	400.0	mg	NA
