study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Kinoshita2015	group 2	19.0	TNL40	auc_end	canagliflozin	plasma	LC MS/MS	72.0	hr	3494.3	NA	NA	NA	534.4	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 2	19.0	TNL40	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	458.3	NA	NA	NA	78.75	NA	NA	ng/ml	NA
Kinoshita2015	group 2	19.0	TNL40	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	1.1	NA	NA	NA	0.6	NA	NA	hr	NA
Kinoshita2015	group 2	19.0	TNL40	auc_end	canagliflozin	urine	LC MS/MS	24.0	hr	2651.8	NA	NA	NA	337.9	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 2	19.0	TNL40	auc_inf	canagliflozin	urine	LC MS/MS	NA	NA	3781.2	NA	NA	NA	646.3	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 2	19.0	TNL40	thalf	canagliflozin	urine	LC MS/MS	NA	NA	24.0	NA	NA	NA	6.5	NA	NA	hr	NA
Kinoshita2015	group 2	19.0	TNL40	kel	canagliflozin	urine	LC MS/MS	NA	NA	0.0306	NA	NA	NA	0.0068	NA	NA	1/hr	NA
Kinoshita2015	group 2	19.0	TNL40	mrt	canagliflozin	urine	LC MS/MS	NA	NA	21.5	NA	NA	NA	5.5	NA	NA	hr	NA
Kinoshita2015	group 2	19.0	TNL40	clearance	canagliflozin	urine	LC MS/MS	NA	NA	10.89	NA	NA	NA	1.96	NA	NA	l/hr	NA
Kinoshita2015	group 2	19.0	TNL40_d9, CAN200	auc_end	canagliflozin	plasma	LC MS/MS	72.0	hr	3457.0	NA	NA	NA	683.1	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 2	19.0	TNL40_d9, CAN200	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	444.9	NA	NA	NA	66.58	NA	NA	ng/ml	NA
Kinoshita2015	group 2	19.0	TNL40_d9, CAN200	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	1.1	NA	NA	NA	0.3	NA	NA	hr	NA
Kinoshita2015	group 2	19.0	TNL40_d9, CAN200	auc_end	canagliflozin	urine	LC MS/MS	24.0	hr	2595.4	NA	NA	NA	409.5	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 2	19.0	TNL40_d9, CAN200	auc_inf	canagliflozin	urine	LC MS/MS	NA	NA	3699.5	NA	NA	NA	743.6	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 2	19.0	TNL40_d9, CAN200	thalf	canagliflozin	urine	LC MS/MS	NA	NA	22.1	NA	NA	NA	4.8	NA	NA	hr	NA
Kinoshita2015	group 2	19.0	TNL40_d9, CAN200	kel	canagliflozin	urine	LC MS/MS	NA	NA	0.0325	NA	NA	NA	0.0059	NA	NA	1/hr	NA
Kinoshita2015	group 2	19.0	TNL40_d9, CAN200	mrt	canagliflozin	urine	LC MS/MS	NA	NA	20.7	NA	NA	NA	4.2	NA	NA	hr	NA
Kinoshita2015	group 2	19.0	TNL40_d9, CAN200	clearance	canagliflozin	urine	LC MS/MS	NA	NA	11.2	NA	NA	NA	2.08	NA	NA	l/hr	NA
