study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	0.0	hr	NA	0.0	32.271938577388	32.271938577388	6.4543877154775995	ng/ml	NA
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	0.5	hr	NA	521.187752834944	1015.15657948417	493.968826649226	98.7937653298452	ng/ml	NA
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	1.0	hr	NA	1759.75580383694	2683.15941074404	923.4036069071001	184.68072138142003	ng/ml	NA
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	1.5	hr	NA	1747.24615740035	2308.24604434657	560.9998869462202	112.19997738924403	ng/ml	NA
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	2.0	hr	NA	1563.47232394331	1843.97841164355	280.5060877002402	56.10121754004804	ng/ml	NA
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	3.0	hr	NA	1305.15918463648	1536.0076286724	230.84844403592	46.169688807184	ng/ml	NA
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	4.0	hr	NA	1096.47173901289	1297.53542761363	201.06368860073985	40.21273772014797	ng/ml	NA
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	6.0	hr	NA	716.360356463479	855.36243566994	139.00207920646108	27.800415841292214	ng/ml	NA
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	8.0	hr	NA	514.945218070907	619.200464012031	104.25524594112403	20.851049188224806	ng/ml	NA
Kinoshita2015	NA	group 1	25.0	CAN200	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN200	12.0	hr	NA	313.186002959057	400.058001504105	86.87199854504797	17.374399709009595	ng/ml	NA
