study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Kinoshita2015	group 2	18.0	TNL40	cmax	GLP-1	plasma	LC MS/MS	NA	NA	4.93	NA	NA	NA	3.8	NA	NA	pmol/l	NA
Kinoshita2015	group 2	18.0	TNL40	tmax	GLP-1	plasma	LC MS/MS	NA	NA	2.0	NA	NA	NA	1.1	NA	NA	hr	NA
Kinoshita2015	group 2	18.0	TNL40	auc_end	GLP-1	plasma	LC MS/MS	4.0	hr	10.0	NA	NA	NA	2.5	NA	NA	pmol*hr/ml	NA
Kinoshita2015	group 2	18.0	TNL40	auc_inf	GLP-1	plasma	LC MS/MS	NA	NA	9.6	NA	NA	NA	2.4	NA	NA	pmol*hr/ml	NA
Kinoshita2015	group 2	18.0	TNL40, CAN200	cmax	GLP-1	plasma	LC MS/MS	NA	NA	5.89	NA	NA	NA	5.46	NA	NA	pmol/l	NA
Kinoshita2015	group 2	18.0	TNL40, CAN200	tmax	GLP-1	plasma	LC MS/MS	NA	NA	1.6	NA	NA	NA	0.8	NA	NA	hr	NA
Kinoshita2015	group 2	18.0	TNL40, CAN200	auc_end	GLP-1	plasma	LC MS/MS	4.0	hr	12.9	NA	NA	NA	3.6	NA	NA	pmol*hr/ml	NA
Kinoshita2015	group 2	18.0	TNL40, CAN200	auc_inf	GLP-1	plasma	LC MS/MS	NA	NA	12.5	NA	NA	NA	3.6	NA	NA	pmol*hr/ml	NA
