study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Sha2014	CAN200	18.0	CAN200_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN200	-16.0	day	13.5				1.6				mmol/l	mmol/l
Sha2014	CAN200	18.0	CAN200_d16	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN200	3.0	day	4.9				1.5				mmol/l	mmol/l
