study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Chen2015	all	14.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300	0.0	hr	0.0								mole	mg
Chen2015	all	14.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300	24.0	hr	8.217853689977441e-05				1.6387367064131485e-05				mole	mg
