study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Chen2015	all	14.0	CAN100	recovery	M5	urine	LC MS/MS	M5_recovery_CAN100	0.0	hr	0.0								count*mole/kilogram	percent
Chen2015	all	14.0	CAN100	recovery	M5	urine	LC MS/MS	M5_recovery_CAN100	24.0	hr	0.14147599097647437				0.04737350950692877				count*mole/kilogram	percent
