run	success	duration	cost	KI__RTG_E50	KI__RTG_base	KI__RTG_max_inhibition	KI__RTG_m_fpg	message	x	x0
11	True	108.7469871044159	255.58538559237542	1.7058500169355e-05	9.005286526615148	0.6244535441073977	0.7189836466732434	`xtol` termination condition is satisfied.	[1.70585002e-05 9.00528653e+00 6.24453544e-01 7.18983647e-01]	[ 2.69196753 11.64379204  0.84509328  2.24481692]
33	True	104.62358021736145	255.63834743857836	1.623480294507395e-05	9.008813544535302	0.6226929191777825	0.7162674711456392	`xtol` termination condition is satisfied.	[1.62348029e-05 9.00881354e+00 6.22692919e-01 7.16267471e-01]	[ 7.0340483  10.91037528  0.36525885  0.59463753]
12	True	101.10230350494385	255.65037284858263	1.688627080450941e-05	9.006236192801332	0.6240652582828639	0.7260101039653747	`xtol` termination condition is satisfied.	[1.68862708e-05 9.00623619e+00 6.24065258e-01 7.26010104e-01]	[30.69991906 10.44896462  0.2543247   0.76727899]
99	True	100.58524107933044	255.68208131091237	1.7049447328303575e-05	9.014407025812366	0.6248960609913449	0.7191672502937847	`xtol` termination condition is satisfied.	[1.70494473e-05 9.01440703e+00 6.24896061e-01 7.19167250e-01]	[2.58758620e-04 1.01878060e+01 9.71198803e-01 1.48210189e+00]
6	True	150.70518827438354	255.68789317842078	1.6395553423874068e-05	9.000004110213002	0.6227669673968214	0.7218730244822033	`xtol` termination condition is satisfied.	[1.63955534e-05 9.00000411e+00 6.22766967e-01 7.21873024e-01]	[25.76283282 13.43679869  0.99432391  1.02811226]
50	True	112.02745270729065	255.69066687352404	1.707801388971757e-05	9.001103044826454	0.6241203208574467	0.7068209816950252	`xtol` termination condition is satisfied.	[1.70780139e-05 9.00110304e+00 6.24120321e-01 7.06820982e-01]	[0.28319426 9.20495652 0.86825168 0.23314351]
13	True	97.91787195205688	255.70485568147956	1.6362354999627957e-05	9.000104843229243	0.6224772251593366	0.7251594028249158	`xtol` termination condition is satisfied.	[1.63623550e-05 9.00010484e+00 6.22477225e-01 7.25159403e-01]	[0.10206596 9.83974787 0.66729463 0.51050112]
73	True	80.44299340248108	255.70848019329702	1.619656686854459e-05	9.004158401460208	0.6223667601543479	0.7257526786238208	`xtol` termination condition is satisfied.	[1.61965669e-05 9.00415840e+00 6.22366760e-01 7.25752679e-01]	[10.60108916 10.25893768  0.28227782  0.64960594]
31	True	111.10164642333984	255.73483531316552	1.5810566037980186e-05	9.000000225204998	0.6213527658940369	0.7296170355333186	`xtol` termination condition is satisfied.	[1.58105660e-05 9.00000023e+00 6.21352766e-01 7.29617036e-01]	[1.75738880e-04 1.16225230e+01 2.98102941e-01 7.84269292e-01]
88	True	90.24788928031921	255.73622706521607	1.693329166656834e-05	9.00438610997549	0.6241116091339437	0.7262800108391314	`xtol` termination condition is satisfied.	[1.69332917e-05 9.00438611e+00 6.24111609e-01 7.26280011e-01]	[15.88085571 10.31696724  0.41990804  1.1210169 ]
