study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Inagaki2014	normal renal	12.0	CAN100	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_urine_CAN100_normal	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Inagaki2014	normal renal	12.0	CAN100	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_urine_CAN100_normal	72.0	hr	0.541	NA	NA	NA	0.168	NA	NA	percent	NA
Inagaki2014	normal renal	12.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN100_normal	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Inagaki2014	normal renal	12.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN100_normal	72.0	hr	0.541	NA	NA	NA	0.168	NA	NA	mg	NA
Inagaki2014	moderate renal	12.0	CAN100	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_urine_CAN100_moderate	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Inagaki2014	moderate renal	12.0	CAN100	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_urine_CAN100_moderate	72.0	hr	0.538	NA	NA	NA	0.229	NA	NA	percent	NA
Inagaki2014	moderate renal	12.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN100_moderate	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Inagaki2014	moderate renal	12.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN100_moderate	72.0	hr	0.538	NA	NA	NA	0.22899999999999998	NA	NA	mg	NA
Inagaki2014	normal renal	12.0	CAN200	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_urine_CAN200_normal	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Inagaki2014	normal renal	12.0	CAN200	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_urine_CAN200_normal	72.0	hr	0.559	NA	NA	NA	0.182	NA	NA	percent	NA
Inagaki2014	normal renal	12.0	CAN200	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN200_normal	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Inagaki2014	normal renal	12.0	CAN200	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN200_normal	72.0	hr	1.118	NA	NA	NA	0.364	NA	NA	mg	NA
Inagaki2014	moderate renal	12.0	CAN200	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_urine_CAN200_moderate	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Inagaki2014	moderate renal	12.0	CAN200	recovery	canagliflozin	urine	LC MS/MS	canagliflozin_recovery_urine_CAN200_moderate	72.0	hr	0.48	NA	NA	NA	0.143	NA	NA	percent	NA
Inagaki2014	moderate renal	12.0	CAN200	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN200_moderate	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Inagaki2014	moderate renal	12.0	CAN200	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_urine_CAN200_moderate	72.0	hr	0.96	NA	NA	NA	0.286	NA	NA	mg	NA
