study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Inagaki2014	normal renal	12.0	CAN100	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1213.66	NA	NA	NA	337.87	NA	NA	ng/ml	NA
Inagaki2014	normal renal	12.0	CAN100	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	6929.0	NA	NA	NA	1734.0	NA	NA	ng/ml*hr	NA
Inagaki2014	normal renal	12.0	CAN100	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.0	1.0	3.0	NA	NA	NA	hr	NA
Inagaki2014	normal renal	12.0	CAN100	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	12.58	NA	NA	NA	3.14	NA	NA	hr	NA
Inagaki2014	normal renal	12.0	CAN100	oral-clearance	canagliflozin	plasma	LC MS/MS	NA	NA	15.24	NA	NA	NA	3.65	NA	NA	l/hr	NA
Inagaki2014	normal renal	12.0	CAN100	vd	canagliflozin	plasma	LC MS/MS	NA	NA	269.0	NA	NA	NA	66.0	NA	NA	l	NA
Inagaki2014	normal renal	12.0	CAN100	clearance_renal	canagliflozin	kidney	LC MS/MS	NA	NA	0.085	NA	NA	NA	0.037	NA	NA	l/hr	NA
Inagaki2014	normal renal	12.0	CAN100	recovery	canagliflozin	urine	LC MS/MS	72.0	hr	0.541	NA	NA	NA	0.168	NA	NA	percent	NA
Inagaki2014	normal renal	12.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Inagaki2014	normal renal	12.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	72.0	hr	0.541	NA	NA	NA	0.168	NA	NA	g	NA
Inagaki2014	moderate renal	12.0	CAN100	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1197.13	NA	NA	NA	310.56	NA	NA	ng/ml	NA
Inagaki2014	moderate renal	12.0	CAN100	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	8766.0	NA	NA	NA	2551.0	NA	NA	ng/ml*hr	NA
Inagaki2014	moderate renal	12.0	CAN100	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.0	1.0	3.0	NA	NA	NA	hr	NA
Inagaki2014	moderate renal	12.0	CAN100	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	12.5	NA	NA	NA	4.35	NA	NA	hr	NA
Inagaki2014	moderate renal	12.0	CAN100	oral-clearance	canagliflozin	plasma	LC MS/MS	NA	NA	12.15	NA	NA	NA	2.87	NA	NA	l/hr	NA
Inagaki2014	moderate renal	12.0	CAN100	vd	canagliflozin	plasma	LC MS/MS	NA	NA	264.0	NA	NA	NA	81.0	NA	NA	l	NA
Inagaki2014	moderate renal	12.0	CAN100	clearance_renal	canagliflozin	kidney	LC MS/MS	NA	NA	0.064	NA	NA	NA	0.021	NA	NA	l/hr	NA
Inagaki2014	moderate renal	12.0	CAN100	recovery	canagliflozin	urine	LC MS/MS	72.0	hr	0.538	NA	NA	NA	0.229	NA	NA	percent	NA
Inagaki2014	moderate renal	12.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Inagaki2014	moderate renal	12.0	CAN100	cumulative amount	canagliflozin	urine	LC MS/MS	72.0	hr	0.538	NA	NA	NA	0.22899999999999998	NA	NA	g	NA
Inagaki2014	normal renal	12.0	CAN200	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2415.61	NA	NA	NA	739.88	NA	NA	ng/ml	NA
Inagaki2014	normal renal	12.0	CAN200	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	14815.0	NA	NA	NA	4162.0	NA	NA	ng/ml*hr	NA
Inagaki2014	normal renal	12.0	CAN200	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.0	1.0	6.0	NA	NA	NA	hr	NA
Inagaki2014	normal renal	12.0	CAN200	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	12.1	NA	NA	NA	2.66	NA	NA	hr	NA
Inagaki2014	normal renal	12.0	CAN200	oral-clearance	canagliflozin	plasma	LC MS/MS	NA	NA	14.43	NA	NA	NA	3.73	NA	NA	l/hr	NA
Inagaki2014	normal renal	12.0	CAN200	vd	canagliflozin	plasma	LC MS/MS	NA	NA	244.0	NA	NA	NA	53.0	NA	NA	l	NA
Inagaki2014	normal renal	12.0	CAN200	clearance_renal	canagliflozin	kidney	LC MS/MS	NA	NA	0.08	NA	NA	NA	0.029	NA	NA	l/hr	NA
Inagaki2014	normal renal	12.0	CAN200	recovery	canagliflozin	urine	LC MS/MS	72.0	hr	0.559	NA	NA	NA	0.182	NA	NA	percent	NA
Inagaki2014	normal renal	12.0	CAN200	cumulative amount	canagliflozin	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Inagaki2014	normal renal	12.0	CAN200	cumulative amount	canagliflozin	urine	LC MS/MS	72.0	hr	1.118	NA	NA	NA	0.364	NA	NA	g	NA
Inagaki2014	moderate renal	12.0	CAN200	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2333.36	NA	NA	NA	414.9	NA	NA	ng/ml	NA
Inagaki2014	moderate renal	12.0	CAN200	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	17835.0	NA	NA	NA	4434.0	NA	NA	ng/ml*hr	NA
Inagaki2014	moderate renal	12.0	CAN200	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	NA	1.0	1.0	2.0	NA	NA	NA	hr	NA
Inagaki2014	moderate renal	12.0	CAN200	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	15.15	NA	NA	NA	6.68	NA	NA	hr	NA
Inagaki2014	moderate renal	12.0	CAN200	oral-clearance	canagliflozin	plasma	LC MS/MS	NA	NA	11.73	NA	NA	NA	2.36	NA	NA	l/hr	NA
Inagaki2014	moderate renal	12.0	CAN200	vd	canagliflozin	plasma	LC MS/MS	NA	NA	242.0	NA	NA	NA	67.0	NA	NA	l	NA
Inagaki2014	moderate renal	12.0	CAN200	clearance_renal	canagliflozin	kidney	LC MS/MS	NA	NA	0.058	NA	NA	NA	0.022	NA	NA	l/hr	NA
Inagaki2014	moderate renal	12.0	CAN200	recovery	canagliflozin	urine	LC MS/MS	72.0	hr	0.48	NA	NA	NA	0.143	NA	NA	percent	NA
Inagaki2014	moderate renal	12.0	CAN200	cumulative amount	canagliflozin	urine	LC MS/MS	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Inagaki2014	moderate renal	12.0	CAN200	cumulative amount	canagliflozin	urine	LC MS/MS	72.0	hr	0.96	NA	NA	NA	0.286	NA	NA	g	NA
