study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Sha2014	PBO	18.0	placebo_baseline	cumulative amount	glucose	urine	LC MS/MS	-16.0	day	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Sha2014	PBO	18.0	placebo_baseline	cumulative amount	glucose	urine	LC MS/MS	-15.0	day	24.5	NA	NA	NA	31.9	NA	NA	g	NA
Sha2014	PBO	18.0	placebo_d1	cumulative amount	glucose	urine	LC MS/MS	-14.0	day	0.0	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	PBO	18.0	placebo_d1	cumulative amount	glucose	urine	LC MS/MS	-13.0	day	21.4	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	PBO	18.0	placebo_d16	cumulative amount	glucose	urine	LC MS/MS	0.0	day	0.0	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	PBO	18.0	placebo_d16	cumulative amount	glucose	urine	LC MS/MS	1.0	day	13.8	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	PBO_K	4.0	placebo_baseline	cumulative amount	glucose	urine	LC MS/MS	-16.0	day	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Sha2014	PBO_K	4.0	placebo_baseline	cumulative amount	glucose	urine	LC MS/MS	-15.0	day	17.4	NA	NA	NA	11.6	NA	NA	g	NA
Sha2014	PBO_K	4.0	placebo_d1	cumulative amount	glucose	urine	LC MS/MS	-14.0	day	0.0	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	PBO_K	4.0	placebo_d1	cumulative amount	glucose	urine	LC MS/MS	-13.0	day	19.8	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	PBO_K	4.0	placebo_d16	cumulative amount	glucose	urine	LC MS/MS	0.0	day	0.0	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	PBO_K	4.0	placebo_d16	cumulative amount	glucose	urine	LC MS/MS	1.0	day	6.1	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	CAN30	16.0	CAN30_baseline	cumulative amount	glucose	urine	LC MS/MS	-16.0	day	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Sha2014	CAN30	16.0	CAN30_baseline	cumulative amount	glucose	urine	LC MS/MS	-15.0	day	10.9	NA	NA	NA	11.9	NA	NA	g	NA
Sha2014	CAN30	16.0	CAN30_d1	cumulative amount	glucose	urine	LC MS/MS	-14.0	day	0.0	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	CAN30	16.0	CAN30_d1	cumulative amount	glucose	urine	LC MS/MS	-13.0	day	75.1	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	CAN30	16.0	CAN30_d16	cumulative amount	glucose	urine	LC MS/MS	0.0	day	0.0	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	CAN30	16.0	CAN30_d16	cumulative amount	glucose	urine	LC MS/MS	1.0	day	78.1	NA	NA	NA	NA	NA	NA	g	NA
Sha2014	CAN30_K	15.0	CAN30_baseline	cumulative amount	glucose	urine	LC MS/MS	-16.0	day	0.0	NA	NA	NA	0.0	NA	NA	g	NA
Sha2014	CAN30_K	15.0	CAN30_baseline	cumulative amount	glucose	urine	LC MS/MS	-15.0	day	17.5	NA	NA	NA	14.5	NA	NA	g	NA
Sha2014	CAN30_K	15.0	CAN30_d1	cumulative amount	glucose	urine	LC MS/MS	-14.0	day	0.0	NA	NA	NA	NA	NA	NA	g	NA
