study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Sha2014	placebo_baseline	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	0.0	mg	NA
Sha2014	CAN30_baseline	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	0.0	mg	NA
Sha2014	CAN100_baseline	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	0.0	mg	NA
Sha2014	CAN200_baseline	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	0.0	mg	NA
Sha2014	CAN400_baseline	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	0.0	mg	NA
Sha2014	CAN300_BID_baseline	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	0.0	mg	NA
Sha2014	placebo_d1	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	0.0	mg	NA
Sha2014	CAN30_d1	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	30.0	mg	NA
Sha2014	CAN100_d1	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	100.0	mg	NA
Sha2014	CAN200_d1	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	200.0	mg	NA
Sha2014	CAN400_d1	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	400.0	mg	NA
Sha2014	CAN300_BID_d1	0	NA	hr	oral	single dose	dosing	suspension	canagliflozin	300.0	mg	NA
Sha2014	placebo_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	suspension	canagliflozin	0.0	mg	NA
Sha2014	CAN30_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	suspension	canagliflozin	30.0	mg	NA
Sha2014	CAN100_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	suspension	canagliflozin	100.0	mg	NA
Sha2014	CAN200_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	suspension	canagliflozin	200.0	mg	NA
Sha2014	CAN400_d16	S-15T1R16	NA	day	oral	multiple dose	dosing	suspension	canagliflozin	400.0	mg	NA
Sha2014	CAN300_BID_d16	S-360T12R32	NA	hr	oral	multiple dose	dosing	suspension	canagliflozin	300.0	mg	NA
