study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Sha2014	PBO	18.0	placebo_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_PBO	-16.0	day	13.2	NA	NA	NA	1.7	NA	NA	mmol/l	NA
Sha2014	PBO	18.0	placebo_d16	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_PBO	3.0	day	13.2	NA	NA	NA	1.6	NA	NA	mmol/l	NA
Sha2014	PBO_K	18.0	placebo_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_PBO_K	-16.0	day	14.9	NA	NA	NA	2.6	NA	NA	mmol/l	NA
Sha2014	PBO_K	18.0	placebo_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_PBO_K	3.0	day	14.4	NA	NA	NA	2.2	NA	NA	mmol/l	NA
Sha2014	CAN30	18.0	CAN30_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN30	-16.0	day	14.4	NA	NA	NA	1.5	NA	NA	mmol/l	NA
Sha2014	CAN30	18.0	CAN30_d16	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN30	3.0	day	8.5	NA	NA	NA	1.3	NA	NA	mmol/l	NA
Sha2014	CAN30_K	18.0	CAN30_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN30_K	-16.0	day	14.1	NA	NA	NA	1.0	NA	NA	mmol/l	NA
Sha2014	CAN30_K	18.0	CAN30_d16	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN30_K	3.0	day	7.6	NA	NA	NA	1.4	NA	NA	mmol/l	NA
Sha2014	CAN100	18.0	CAN100_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN100	-16.0	day	13.0	NA	NA	NA	1.6	NA	NA	mmol/l	NA
Sha2014	CAN100	18.0	CAN100_d16	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN100	3.0	day	5.6	NA	NA	NA	1.4	NA	NA	mmol/l	NA
Sha2014	CAN200	18.0	CAN200_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN200	-16.0	day	13.5	NA	NA	NA	1.6	NA	NA	mmol/l	NA
Sha2014	CAN200	18.0	CAN200_d16	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN200	3.0	day	4.9	NA	NA	NA	1.5	NA	NA	mmol/l	NA
Sha2014	CAN400	18.0	CAN400_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN400	-16.0	day	14.0	NA	NA	NA	1.8	NA	NA	mmol/l	NA
Sha2014	CAN400	18.0	CAN400_d16	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN400	3.0	day	4.0	NA	NA	NA	1.2	NA	NA	mmol/l	NA
Sha2014	CAN300_BID	18.0	CAN300_BID_baseline	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN300_BID	-16.0	day	13.3	NA	NA	NA	1.8	NA	NA	mmol/l	NA
Sha2014	CAN300_BID	18.0	CAN300_BID_d16	renal threshold	canagliflozin	urine	LC MS/MS	glucose_renal_threshold_CAN300_BID	3.0	day	4.8	NA	NA	NA	1.3	NA	NA	mmol/l	NA
