study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	mean_unit	median_unit
Devineni2015c	mild_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_mild_hepatic	0.0	hr	0.0				0.0			mole	mg
Devineni2015c	mild_hepatic	8.0	CAN300	cumulative amount	canagliflozin	urine	LC MS/MS	canagliflozin_cumulative_amount_CAN300_mild_hepatic	24.0	hr	3.3744415299267972e-06				8.773547977809671e-07			mole	mg
