study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	mean_unit	median_unit
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300_mild_hepatic	0.0	hr	0.0				0.0			count*mole/kilogram	percent
Devineni2015c	mild_hepatic	8.0	CAN300	recovery	M7	urine	LC MS/MS	M7_recovery_CAN300_mild_hepatic	24.0	hr	0.3689977441185949				0.06880438285530131			count*mole/kilogram	percent
