study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	mean_unit	median_unit
Devineni2015c	moderate_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_moderate_heaptic	0.0	hr	0.0				0.0			count*mole/kilogram	percent
Devineni2015c	moderate_hepatic	8.0	CAN300	recovery	M5	urine	LC MS/MS	M5_recovery_CAN300_moderate_heaptic	24.0	hr	0.16113438607798902				0.042700612310667095			count*mole/kilogram	percent
