study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	mean_unit	median_unit
Devineni2015c	normal_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_normal_hepatic	0.0	hr	0.0				0.0			mole	mg
Devineni2015c	normal_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_normal_hepatic	24.0	hr	8.314534321624234e-05				1.9384466645182083e-05			mole	mg
