study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	mean_unit	median_unit
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_moderate_hepatic	0.0	hr	0.0				0.0			mole	mg
Devineni2015c	moderate_hepatic	8.0	CAN300	cumulative amount	M7	urine	LC MS/MS	M7_cumulative_amount_CAN300_moderate_hepatic	24.0	hr	0.00016677408959071865				7.492748952626491e-05			mole	mg
